       Step     Time          Energy          fmax
LBFGS:    0 20:22:41      -76.753241        1.411389
LBFGS:    1 20:22:42      -76.834720        0.869992
LBFGS:    2 20:22:42      -76.930986        0.739674
LBFGS:    3 20:22:42      -76.980341        0.650064
LBFGS:    4 20:22:42      -77.021114        0.454306
LBFGS:    5 20:22:42      -77.063782        0.473269
LBFGS:    6 20:22:42      -77.101973        0.560950
LBFGS:    7 20:22:43      -77.130917        0.401017
LBFGS:    8 20:22:43      -77.156134        0.420771
LBFGS:    9 20:22:43      -77.180412        0.417034
LBFGS:   10 20:22:43      -77.203098        0.627021
LBFGS:   11 20:22:43      -77.224636        0.633269
LBFGS:   12 20:22:43      -77.245084        0.426801
LBFGS:   13 20:22:43      -77.264032        0.292548
LBFGS:   14 20:22:44      -77.282567        0.325603
LBFGS:   15 20:22:44      -77.304953        0.513514
LBFGS:   16 20:22:44      -77.336606        0.586473
LBFGS:   17 20:22:44      -77.379133        0.571290
LBFGS:   18 20:22:44      -77.421495        0.541993
LBFGS:   19 20:22:45      -77.455234        0.421259
LBFGS:   20 20:22:45      -77.488234        0.464962
LBFGS:   21 20:22:45      -77.531052        0.625748
LBFGS:   22 20:22:45      -77.584684        0.596763
LBFGS:   23 20:22:45      -77.641323        0.621681
LBFGS:   24 20:22:46      -77.689366        0.531273
LBFGS:   25 20:22:46      -77.731403        0.515580
LBFGS:   26 20:22:46      -77.766334        0.711720
LBFGS:   27 20:22:46      -77.788623        0.760560
LBFGS:   28 20:22:46      -77.818041        0.337448
LBFGS:   29 20:22:46      -77.845613        0.330520
LBFGS:   30 20:22:47      -77.857839        0.340883
LBFGS:   31 20:22:47      -77.874798        0.349901
LBFGS:   32 20:22:47      -77.886442        0.592156
LBFGS:   33 20:22:47      -77.896577        0.220727
LBFGS:   34 20:22:47      -77.902916        0.172006
LBFGS:   35 20:22:47      -77.908293        0.153102
LBFGS:   36 20:22:48      -77.911313        0.134274
LBFGS:   37 20:22:48      -77.915549        0.110303
LBFGS:   38 20:22:48      -77.918897        0.132993
LBFGS:   39 20:22:48      -77.921732        0.130262
LBFGS:   40 20:22:48      -77.923740        0.102832
LBFGS:   41 20:22:48      -77.925501        0.099819
LBFGS:   42 20:22:49      -77.927187        0.085263
LBFGS:   43 20:22:49      -77.928942        0.124651
LBFGS:   44 20:22:49      -77.930553        0.125083
LBFGS:   45 20:22:49      -77.931975        0.086203
LBFGS:   46 20:22:49      -77.933327        0.080647
LBFGS:   47 20:22:49      -77.934594        0.090739
LBFGS:   48 20:22:49      -77.935664        0.075886
LBFGS:   49 20:22:49      -77.936597        0.068557
LBFGS:   50 20:22:50      -77.937554        0.073375
LBFGS:   51 20:22:50      -77.938576        0.084622
LBFGS:   52 20:22:50      -77.939581        0.076989
LBFGS:   53 20:22:50      -77.940472        0.073061
LBFGS:   54 20:22:50      -77.941351        0.080185
LBFGS:   55 20:22:50      -77.942345        0.090283
LBFGS:   56 20:22:50      -77.943395        0.087642
LBFGS:   57 20:22:50      -77.944439        0.079677
LBFGS:   58 20:22:50      -77.945600        0.070775
LBFGS:   59 20:22:51      -77.946973        0.060780
LBFGS:   60 20:22:51      -77.948353        0.080483
LBFGS:   61 20:22:51      -77.949440        0.093947
LBFGS:   62 20:22:51      -77.950263        0.079015
LBFGS:   63 20:22:51      -77.951060        0.047130
