       Step     Time          Energy          fmax
LBFGS:    0 20:23:12      -78.239342        1.369794
LBFGS:    1 20:23:13      -78.342254        0.875167
LBFGS:    2 20:23:13      -78.484047        0.583620
LBFGS:    3 20:23:13      -78.535089        0.587718
LBFGS:    4 20:23:13      -78.597941        0.414801
LBFGS:    5 20:23:13      -78.666152        0.585972
LBFGS:    6 20:23:13      -78.731934        0.622990
LBFGS:    7 20:23:13      -78.783257        0.557291
LBFGS:    8 20:23:14      -78.833401        0.412311
LBFGS:    9 20:23:14      -78.884528        0.574732
LBFGS:   10 20:23:14      -78.944242        0.844681
LBFGS:   11 20:23:14      -79.003359        0.770113
LBFGS:   12 20:23:14      -79.046491        0.442699
LBFGS:   13 20:23:14      -79.074346        0.342165
LBFGS:   14 20:23:14      -79.096363        0.347244
LBFGS:   15 20:23:15      -79.115630        0.385158
LBFGS:   16 20:23:15      -79.131359        0.328239
LBFGS:   17 20:23:15      -79.141748        0.249294
LBFGS:   18 20:23:15      -79.147051        0.193726
LBFGS:   19 20:23:15      -79.150817        0.204386
LBFGS:   20 20:23:15      -79.155764        0.230077
LBFGS:   21 20:23:15      -79.162357        0.212086
LBFGS:   22 20:23:15      -79.169501        0.244021
LBFGS:   23 20:23:15      -79.175831        0.206878
LBFGS:   24 20:23:16      -79.182516        0.261808
LBFGS:   25 20:23:16      -79.193020        0.391803
LBFGS:   26 20:23:16      -79.210731        0.543473
LBFGS:   27 20:23:16      -79.232042        0.619250
LBFGS:   28 20:23:16      -79.255033        0.432326
LBFGS:   29 20:23:16      -79.270540        0.566184
LBFGS:   30 20:23:16      -79.281427        0.535879
LBFGS:   31 20:23:16      -79.294972        0.296364
LBFGS:   32 20:23:16      -79.312993        0.504908
LBFGS:   33 20:23:17      -79.319775        0.287358
LBFGS:   34 20:23:17      -79.326013        0.180666
LBFGS:   35 20:23:17      -79.332224        0.189385
LBFGS:   36 20:23:17      -79.342355        0.180957
LBFGS:   37 20:23:17      -79.354399        0.321150
LBFGS:   38 20:23:17      -79.361091        0.247758
LBFGS:   39 20:23:17      -79.366341        0.371740
LBFGS:   40 20:23:17      -79.370772        0.196625
LBFGS:   41 20:23:18      -79.375838        0.212014
LBFGS:   42 20:23:18      -79.379165        0.318359
LBFGS:   43 20:23:18      -79.385451        0.386977
LBFGS:   44 20:23:18      -79.391804        0.339064
LBFGS:   45 20:23:18      -79.398423        0.227403
LBFGS:   46 20:23:18      -79.403360        0.157512
LBFGS:   47 20:23:18      -79.407236        0.153820
LBFGS:   48 20:23:18      -79.411444        0.162939
LBFGS:   49 20:23:18      -79.416362        0.172788
LBFGS:   50 20:23:19      -79.420513        0.196171
LBFGS:   51 20:23:19      -79.422267        0.337873
LBFGS:   52 20:23:19      -79.425528        0.137129
LBFGS:   53 20:23:19      -79.427724        0.130165
LBFGS:   54 20:23:19      -79.430291        0.181190
LBFGS:   55 20:23:19      -79.433426        0.168402
LBFGS:   56 20:23:19      -79.437178        0.134697
LBFGS:   57 20:23:19      -79.441029        0.175189
LBFGS:   58 20:23:19      -79.444754        0.187545
LBFGS:   59 20:23:20      -79.448449        0.142709
LBFGS:   60 20:23:20      -79.451935        0.107406
LBFGS:   61 20:23:20      -79.455114        0.122952
LBFGS:   62 20:23:20      -79.458302        0.173725
LBFGS:   63 20:23:20      -79.461389        0.153168
LBFGS:   64 20:23:20      -79.463824        0.146212
LBFGS:   65 20:23:20      -79.465474        0.102763
LBFGS:   66 20:23:21      -79.466682        0.093205
LBFGS:   67 20:23:21      -79.467711        0.102815
LBFGS:   68 20:23:21      -79.468678        0.077472
LBFGS:   69 20:23:21      -79.469555        0.065769
LBFGS:   70 20:23:21      -79.470327        0.074470
LBFGS:   71 20:23:21      -79.471238        0.098039
LBFGS:   72 20:23:21      -79.472555        0.117226
LBFGS:   73 20:23:22      -79.474152        0.122475
LBFGS:   74 20:23:22      -79.475545        0.078153
LBFGS:   75 20:23:22      -79.476613        0.079081
LBFGS:   76 20:23:22      -79.477560        0.064709
LBFGS:   77 20:23:22      -79.478546        0.089771
LBFGS:   78 20:23:22      -79.479593        0.086763
LBFGS:   79 20:23:22      -79.480542        0.062608
LBFGS:   80 20:23:23      -79.481306        0.061907
LBFGS:   81 20:23:23      -79.482074        0.074730
LBFGS:   82 20:23:23      -79.483180        0.097655
LBFGS:   83 20:23:23      -79.484570        0.098143
LBFGS:   84 20:23:23      -79.485734        0.079252
LBFGS:   85 20:23:23      -79.486425        0.061881
LBFGS:   86 20:23:23      -79.486915        0.054129
LBFGS:   87 20:23:24      -79.487545        0.068200
LBFGS:   88 20:23:24      -79.488480        0.102547
LBFGS:   89 20:23:24      -79.489524        0.094739
LBFGS:   90 20:23:24      -79.490317        0.060936
LBFGS:   91 20:23:24      -79.490861        0.057416
LBFGS:   92 20:23:24      -79.491449        0.058361
LBFGS:   93 20:23:24      -79.492380        0.100241
LBFGS:   94 20:23:25      -79.493759        0.120205
LBFGS:   95 20:23:25      -79.495145        0.099987
LBFGS:   96 20:23:25      -79.495994        0.057392
LBFGS:   97 20:23:25      -79.496442        0.042978
