       Step     Time          Energy          fmax
LBFGS:    0 20:23:25      -78.243452        1.416168
LBFGS:    1 20:23:25      -78.337212        0.647139
LBFGS:    2 20:23:25      -78.442264        0.632266
LBFGS:    3 20:23:26      -78.522010        0.773248
LBFGS:    4 20:23:26      -78.603845        0.733388
LBFGS:    5 20:23:26      -78.695244        0.581292
LBFGS:    6 20:23:26      -78.770732        0.661295
LBFGS:    7 20:23:26      -78.821787        0.743034
LBFGS:    8 20:23:26      -78.872194        0.479356
LBFGS:    9 20:23:26      -78.924958        0.516872
LBFGS:   10 20:23:27      -78.982960        0.631667
LBFGS:   11 20:23:27      -79.038641        0.914099
LBFGS:   12 20:23:27      -79.085562        0.843900
LBFGS:   13 20:23:27      -79.122453        0.480927
LBFGS:   14 20:23:27      -79.147446        0.316937
LBFGS:   15 20:23:27      -79.162244        0.284356
LBFGS:   16 20:23:27      -79.173455        0.285007
LBFGS:   17 20:23:28      -79.183133        0.267490
LBFGS:   18 20:23:28      -79.190420        0.176608
LBFGS:   19 20:23:28      -79.194410        0.106683
LBFGS:   20 20:23:28      -79.197002        0.125063
LBFGS:   21 20:23:28      -79.200332        0.169362
LBFGS:   22 20:23:28      -79.204783        0.205604
LBFGS:   23 20:23:28      -79.209274        0.187950
LBFGS:   24 20:23:29      -79.212430        0.130464
LBFGS:   25 20:23:29      -79.214701        0.143721
LBFGS:   26 20:23:29      -79.217302        0.177230
LBFGS:   27 20:23:29      -79.220760        0.163721
LBFGS:   28 20:23:29      -79.224522        0.160814
LBFGS:   29 20:23:29      -79.228022        0.158264
LBFGS:   30 20:23:29      -79.231780        0.183400
LBFGS:   31 20:23:29      -79.236858        0.223238
LBFGS:   32 20:23:30      -79.243338        0.297929
LBFGS:   33 20:23:30      -79.249714        0.266131
LBFGS:   34 20:23:30      -79.254766        0.138499
LBFGS:   35 20:23:30      -79.259075        0.202504
LBFGS:   36 20:23:30      -79.263397        0.216116
LBFGS:   37 20:23:30      -79.267672        0.224546
LBFGS:   38 20:23:30      -79.271481        0.273855
LBFGS:   39 20:23:31      -79.274931        0.155181
LBFGS:   40 20:23:31      -79.278032        0.109079
LBFGS:   41 20:23:31      -79.280043        0.124432
LBFGS:   42 20:23:31      -79.282936        0.130188
LBFGS:   43 20:23:31      -79.286115        0.133898
LBFGS:   44 20:23:31      -79.291155        0.188366
LBFGS:   45 20:23:31      -79.297566        0.220040
LBFGS:   46 20:23:32      -79.300512        0.527648
LBFGS:   47 20:23:32      -79.306734        0.105295
LBFGS:   48 20:23:32      -79.309063        0.090833
LBFGS:   49 20:23:32      -79.313742        0.156238
LBFGS:   50 20:23:32      -79.318095        0.245793
LBFGS:   51 20:23:32      -79.324598        0.298188
LBFGS:   52 20:23:32      -79.331148        0.165441
LBFGS:   53 20:23:33      -79.336411        0.189055
LBFGS:   54 20:23:33      -79.338739        0.391430
LBFGS:   55 20:23:33      -79.341330        0.133114
LBFGS:   56 20:23:33      -79.343848        0.109231
LBFGS:   57 20:23:33      -79.351171        0.139439
LBFGS:   58 20:23:33      -79.353367        0.144083
LBFGS:   59 20:23:33      -79.357781        0.129574
LBFGS:   60 20:23:34      -79.360429        0.146371
LBFGS:   61 20:23:34      -79.362984        0.143193
LBFGS:   62 20:23:34      -79.365495        0.164164
LBFGS:   63 20:23:34      -79.367611        0.098866
LBFGS:   64 20:23:34      -79.369848        0.084462
LBFGS:   65 20:23:34      -79.371379        0.092194
LBFGS:   66 20:23:34      -79.374408        0.097191
LBFGS:   67 20:23:35      -79.377053        0.093653
LBFGS:   68 20:23:35      -79.379557        0.112571
LBFGS:   69 20:23:35      -79.381587        0.119810
LBFGS:   70 20:23:35      -79.383716        0.110483
LBFGS:   71 20:23:35      -79.386333        0.095823
LBFGS:   72 20:23:35      -79.389347        0.087264
LBFGS:   73 20:23:35      -79.392045        0.107116
LBFGS:   74 20:23:36      -79.394205        0.107644
LBFGS:   75 20:23:36      -79.396458        0.126896
LBFGS:   76 20:23:36      -79.399493        0.101263
LBFGS:   77 20:23:36      -79.402860        0.092089
LBFGS:   78 20:23:36      -79.405658        0.092371
LBFGS:   79 20:23:36      -79.407493        0.085203
LBFGS:   80 20:23:36      -79.408826        0.071835
