       Step     Time          Energy          fmax
LBFGS:    0 12:10:14      -38.716522        1.205175
LBFGS:    1 12:10:14      -38.777623        1.153882
LBFGS:    2 12:10:14      -38.947191        0.906935
LBFGS:    3 12:10:14      -38.990567        0.850040
LBFGS:    4 12:10:14      -39.043071        0.840744
LBFGS:    5 12:10:14      -39.104964        0.802104
LBFGS:    6 12:10:15      -39.175050        0.862312
LBFGS:    7 12:10:15      -39.222199        0.459161
LBFGS:    8 12:10:15      -39.238863        0.420331
LBFGS:    9 12:10:15      -39.257408        0.724166
LBFGS:   10 12:10:15      -39.283768        0.976425
LBFGS:   11 12:10:15      -39.314463        0.884131
LBFGS:   12 12:10:15      -39.343797        0.466016
LBFGS:   13 12:10:15      -39.366360        0.363515
LBFGS:   14 12:10:15      -39.386587        0.322023
LBFGS:   15 12:10:16      -39.410262        0.489403
LBFGS:   16 12:10:16      -39.443481        0.479490
LBFGS:   17 12:10:16      -39.478976        0.325772
LBFGS:   18 12:10:16      -39.507833        0.411876
LBFGS:   19 12:10:16      -39.531416        0.448674
LBFGS:   20 12:10:16      -39.552966        0.423894
LBFGS:   21 12:10:16      -39.566080        0.361367
LBFGS:   22 12:10:16      -39.577411        0.296963
LBFGS:   23 12:10:16      -39.598942        0.197180
LBFGS:   24 12:10:17      -39.617505        0.148264
LBFGS:   25 12:10:17      -39.630022        0.171322
LBFGS:   26 12:10:17      -39.639595        0.147540
LBFGS:   27 12:10:17      -39.646136        0.104724
LBFGS:   28 12:10:17      -39.650869        0.080398
LBFGS:   29 12:10:17      -39.653656        0.057765
LBFGS:   30 12:10:17      -39.654606        0.046396
