       Step     Time          Energy          fmax
LBFGS:    0 12:10:17      -38.810495        1.234470
LBFGS:    1 12:10:18      -38.863202        1.101937
LBFGS:    2 12:10:18      -38.981000        1.135774
LBFGS:    3 12:10:18      -39.028490        0.796122
LBFGS:    4 12:10:18      -39.067434        0.793988
LBFGS:    5 12:10:18      -39.117692        0.762377
LBFGS:    6 12:10:18      -39.179637        0.994823
LBFGS:    7 12:10:18      -39.243192        0.570077
LBFGS:    8 12:10:18      -39.266352        0.435619
LBFGS:    9 12:10:18      -39.281186        0.505105
LBFGS:   10 12:10:19      -39.310607        0.938576
LBFGS:   11 12:10:19      -39.332108        0.942887
LBFGS:   12 12:10:19      -39.365131        0.664403
LBFGS:   13 12:10:19      -39.391632        0.382443
LBFGS:   14 12:10:19      -39.419867        0.345066
LBFGS:   15 12:10:20      -39.450033        0.308207
LBFGS:   16 12:10:20      -39.482117        0.341640
LBFGS:   17 12:10:20      -39.515369        0.284936
LBFGS:   18 12:10:20      -39.548299        0.373475
LBFGS:   19 12:10:20      -39.563205        0.558557
LBFGS:   20 12:10:20      -39.582635        0.650564
LBFGS:   21 12:10:21      -39.594164        0.456369
LBFGS:   22 12:10:21      -39.616291        0.358078
LBFGS:   23 12:10:21      -39.631283        0.467448
LBFGS:   24 12:10:21      -39.640027        0.401366
LBFGS:   25 12:10:21      -39.645103        0.241021
LBFGS:   26 12:10:22      -39.650221        0.139548
LBFGS:   27 12:10:22      -39.659711        0.261981
LBFGS:   28 12:10:22      -39.670105        0.176755
LBFGS:   29 12:10:22      -39.674520        0.075357
LBFGS:   30 12:10:22      -39.675611        0.147674
LBFGS:   31 12:10:22      -39.676714        0.067629
LBFGS:   32 12:10:23      -39.678041        0.093496
LBFGS:   33 12:10:23      -39.679922        0.114645
LBFGS:   34 12:10:23      -39.680796        0.111598
LBFGS:   35 12:10:23      -39.681456        0.086334
LBFGS:   36 12:10:23      -39.681849        0.049184
