       Step     Time          Energy          fmax
LBFGS:    0 12:11:04      -40.150282        1.253199
LBFGS:    1 12:11:04      -40.226818        0.938336
LBFGS:    2 12:11:04      -40.389404        0.463334
LBFGS:    3 12:11:04      -40.421710        0.596951
LBFGS:    4 12:11:04      -40.496432        0.687045
LBFGS:    5 12:11:04      -40.582388        0.834594
LBFGS:    6 12:11:04      -40.672786        0.756413
LBFGS:    7 12:11:05      -40.733947        0.528778
LBFGS:    8 12:11:05      -40.775178        0.498865
LBFGS:    9 12:11:05      -40.815772        0.858121
LBFGS:   10 12:11:05      -40.892998        1.047703
LBFGS:   11 12:11:05      -40.972709        0.784316
LBFGS:   12 12:11:05      -41.011072        0.345303
LBFGS:   13 12:11:05      -41.023040        0.260633
LBFGS:   14 12:11:05      -41.034109        0.223402
LBFGS:   15 12:11:05      -41.043921        0.246359
LBFGS:   16 12:11:05      -41.053864        0.205959
LBFGS:   17 12:11:06      -41.062672        0.142896
LBFGS:   18 12:11:06      -41.067030        0.108246
LBFGS:   19 12:11:06      -41.068730        0.146280
LBFGS:   20 12:11:06      -41.070984        0.155501
LBFGS:   21 12:11:06      -41.075162        0.141387
LBFGS:   22 12:11:06      -41.082800        0.101806
LBFGS:   23 12:11:06      -41.093804        0.134429
LBFGS:   24 12:11:06      -41.104511        0.138936
LBFGS:   25 12:11:06      -41.111116        0.130032
LBFGS:   26 12:11:07      -41.114567        0.117522
LBFGS:   27 12:11:07      -41.118020        0.101710
LBFGS:   28 12:11:07      -41.124640        0.100702
LBFGS:   29 12:11:07      -41.134014        0.106370
LBFGS:   30 12:11:07      -41.141577        0.101032
LBFGS:   31 12:11:07      -41.144953        0.121387
LBFGS:   32 12:11:07      -41.147277        0.109137
LBFGS:   33 12:11:07      -41.149555        0.087607
LBFGS:   34 12:11:07      -41.153132        0.091930
LBFGS:   35 12:11:08      -41.158550        0.078134
LBFGS:   36 12:11:08      -41.163923        0.065903
LBFGS:   37 12:11:08      -41.167251        0.063518
LBFGS:   38 12:11:08      -41.168659        0.053141
LBFGS:   39 12:11:08      -41.169508        0.057204
LBFGS:   40 12:11:08      -41.170779        0.058491
LBFGS:   41 12:11:08      -41.173223        0.079921
LBFGS:   42 12:11:08      -41.177272        0.112749
LBFGS:   43 12:11:09      -41.181576        0.096671
LBFGS:   44 12:11:09      -41.184025        0.054909
LBFGS:   45 12:11:09      -41.185305        0.045898
