       Step     Time          Energy          fmax
LBFGS:    0 12:13:36      -24.056476        0.206511
LBFGS:    1 12:13:37      -24.059061        0.186948
LBFGS:    2 12:13:37      -24.072223        0.062466
LBFGS:    3 12:13:37      -24.072794        0.061337
LBFGS:    4 12:13:37      -24.074376        0.062996
LBFGS:    5 12:13:38      -24.076877        0.089662
LBFGS:    6 12:13:38      -24.080170        0.097832
LBFGS:    7 12:13:38      -24.082374        0.069902
LBFGS:    8 12:13:38      -24.083483        0.073871
LBFGS:    9 12:13:38      -24.084415        0.075591
LBFGS:   10 12:13:38      -24.085932        0.066415
LBFGS:   11 12:13:39      -24.087807        0.056842
LBFGS:   12 12:13:39      -24.089089        0.049833
