       Step     Time          Energy          fmax
LBFGS:    0 12:11:03      -26.233009        0.396521
LBFGS:    1 12:11:03      -26.258305        0.383960
LBFGS:    2 12:11:03      -26.569959        0.267635
LBFGS:    3 12:11:03      -26.619050        0.370788
LBFGS:    4 12:11:03      -26.652043        0.407546
LBFGS:    5 12:11:03      -26.723344        0.408006
LBFGS:    6 12:11:03      -26.832991        0.367164
LBFGS:    7 12:11:03      -26.906453        0.272512
LBFGS:    8 12:11:04      -26.988218        0.069192
LBFGS:    9 12:11:04      -26.998736        0.042993
