       Step     Time          Energy          fmax
LBFGS:    0 19:05:23      -70.778556        4.248658
LBFGS:    1 19:05:23      -71.428837        2.633749
LBFGS:    2 19:05:23      -72.589974        2.564642
LBFGS:    3 19:05:24      -73.732246        2.289696
LBFGS:    4 19:05:24      -74.588037        2.183083
LBFGS:    5 19:05:24      -75.197283        1.630437
LBFGS:    6 19:05:24      -75.687822        1.759918
LBFGS:    7 19:05:24      -76.037794        1.787840
LBFGS:    8 19:05:24      -76.409802        1.658791
LBFGS:    9 19:05:25      -76.625336        1.292707
LBFGS:   10 19:05:25      -76.778674        1.198878
LBFGS:   11 19:05:25      -76.935343        1.165902
LBFGS:   12 19:05:25      -77.084419        1.328667
LBFGS:   13 19:05:25      -77.235630        1.225952
LBFGS:   14 19:05:25      -77.373181        1.840270
LBFGS:   15 19:05:26      -77.508041        1.231326
LBFGS:   16 19:05:26      -77.634015        0.863314
LBFGS:   17 19:05:26      -77.671264        0.683712
LBFGS:   18 19:05:26      -77.697974        0.422770
LBFGS:   19 19:05:26      -77.717387        0.411509
LBFGS:   20 19:05:26      -77.742517        0.454849
LBFGS:   21 19:05:27      -77.761537        0.561888
LBFGS:   22 19:05:27      -77.768136        0.719109
LBFGS:   23 19:05:27      -77.783179        0.312398
LBFGS:   24 19:05:27      -77.793211        0.250343
LBFGS:   25 19:05:27      -77.808681        0.245249
LBFGS:   26 19:05:27      -77.815652        0.213010
LBFGS:   27 19:05:28      -77.823812        0.318665
LBFGS:   28 19:05:28      -77.830482        0.315881
LBFGS:   29 19:05:28      -77.839270        0.176078
LBFGS:   30 19:05:28      -77.842276        0.134716
LBFGS:   31 19:05:28      -77.844071        0.095318
LBFGS:   32 19:05:28      -77.845405        0.080065
LBFGS:   33 19:05:28      -77.846748        0.157639
LBFGS:   34 19:05:29      -77.848159        0.149452
LBFGS:   35 19:05:29      -77.849849        0.184492
LBFGS:   36 19:05:29      -77.851492        0.123351
LBFGS:   37 19:05:29      -77.852723        0.100471
LBFGS:   38 19:05:29      -77.853670        0.104610
LBFGS:   39 19:05:29      -77.855187        0.135585
LBFGS:   40 19:05:29      -77.857681        0.211842
LBFGS:   41 19:05:30      -77.861272        0.241580
LBFGS:   42 19:05:30      -77.864903        0.204647
LBFGS:   43 19:05:30      -77.868206        0.163242
LBFGS:   44 19:05:30      -77.871366        0.149482
LBFGS:   45 19:05:30      -77.874685        0.152809
LBFGS:   46 19:05:30      -77.878062        0.164625
LBFGS:   47 19:05:31      -77.880558        0.200031
LBFGS:   48 19:05:31      -77.880475        0.336515
LBFGS:   49 19:05:31      -77.882843        0.112780
LBFGS:   50 19:05:31      -77.883718        0.139918
LBFGS:   51 19:05:31      -77.885165        0.053284
LBFGS:   52 19:05:31      -77.885880        0.091674
LBFGS:   53 19:05:31      -77.886232        0.051288
LBFGS:   54 19:05:32      -77.886405        0.052474
LBFGS:   55 19:05:32      -77.886980        0.054864
LBFGS:   56 19:05:32      -77.887400        0.043014
