       Step     Time          Energy          fmax
LBFGS:    0 20:22:59      -39.903705        1.275824
LBFGS:    1 20:22:59      -39.972754        0.860833
LBFGS:    2 20:22:59      -40.112056        1.309960
LBFGS:    3 20:22:59      -40.233162        1.138256
LBFGS:    4 20:22:59      -40.307540        1.099534
LBFGS:    5 20:22:59      -40.388902        0.777157
LBFGS:    6 20:23:00      -40.458470        1.203971
LBFGS:    7 20:23:00      -40.543086        1.218160
LBFGS:    8 20:23:00      -40.617619        0.623986
LBFGS:    9 20:23:00      -40.649025        0.528246
LBFGS:   10 20:23:00      -40.705549        1.315930
LBFGS:   11 20:23:00      -40.790974        1.786053
LBFGS:   12 20:23:00      -40.873428        1.504571
LBFGS:   13 20:23:01      -40.916636        0.727345
LBFGS:   14 20:23:01      -40.933558        0.342411
LBFGS:   15 20:23:01      -40.942972        0.296467
LBFGS:   16 20:23:01      -40.955377        0.521678
LBFGS:   17 20:23:01      -40.968710        0.462732
LBFGS:   18 20:23:01      -40.980865        0.187145
LBFGS:   19 20:23:01      -40.989288        0.167326
LBFGS:   20 20:23:02      -40.993874        0.297289
LBFGS:   21 20:23:02      -40.997472        0.280703
LBFGS:   22 20:23:02      -41.001684        0.164714
LBFGS:   23 20:23:02      -41.007517        0.194020
LBFGS:   24 20:23:02      -41.014640        0.284014
LBFGS:   25 20:23:02      -41.020290        0.252552
LBFGS:   26 20:23:02      -41.023984        0.196823
LBFGS:   27 20:23:03      -41.028404        0.204436
LBFGS:   28 20:23:03      -41.035432        0.434747
LBFGS:   29 20:23:03      -41.048187        0.685760
LBFGS:   30 20:23:03      -41.066382        0.756488
LBFGS:   31 20:23:03      -41.082198        0.501116
LBFGS:   32 20:23:03      -41.088472        0.161242
LBFGS:   33 20:23:03      -41.092909        0.201029
LBFGS:   34 20:23:04      -41.099111        0.375958
LBFGS:   35 20:23:04      -41.110739        0.583400
LBFGS:   36 20:23:04      -41.125268        0.557503
LBFGS:   37 20:23:04      -41.136151        0.252791
LBFGS:   38 20:23:04      -41.141103        0.144643
LBFGS:   39 20:23:04      -41.143673        0.166014
LBFGS:   40 20:23:04      -41.147502        0.270650
LBFGS:   41 20:23:05      -41.154588        0.341783
LBFGS:   42 20:23:05      -41.163965        0.301459
LBFGS:   43 20:23:05      -41.171737        0.139856
LBFGS:   44 20:23:05      -41.175609        0.095220
LBFGS:   45 20:23:05      -41.177554        0.088431
LBFGS:   46 20:23:05      -41.179552        0.087573
LBFGS:   47 20:23:05      -41.182199        0.062789
LBFGS:   48 20:23:06      -41.185135        0.048775
