       Step     Time          Energy          fmax
LBFGS:    0 20:23:06      -40.150283        1.253198
LBFGS:    1 20:23:06      -40.226819        0.938336
LBFGS:    2 20:23:06      -40.389403        0.463330
LBFGS:    3 20:23:06      -40.421711        0.596968
LBFGS:    4 20:23:06      -40.496430        0.687011
LBFGS:    5 20:23:06      -40.582381        0.834590
LBFGS:    6 20:23:07      -40.672793        0.756378
LBFGS:    7 20:23:07      -40.733949        0.528782
LBFGS:    8 20:23:07      -40.775174        0.498775
LBFGS:    9 20:23:07      -40.815778        0.858228
LBFGS:   10 20:23:07      -40.892995        1.047670
LBFGS:   11 20:23:07      -40.972707        0.784350
LBFGS:   12 20:23:08      -41.011073        0.345287
LBFGS:   13 20:23:08      -41.023042        0.260632
LBFGS:   14 20:23:08      -41.034107        0.223416
LBFGS:   15 20:23:08      -41.043921        0.246347
LBFGS:   16 20:23:08      -41.053870        0.205926
LBFGS:   17 20:23:08      -41.062672        0.142905
LBFGS:   18 20:23:08      -41.067029        0.108316
LBFGS:   19 20:23:08      -41.068732        0.146274
LBFGS:   20 20:23:09      -41.070986        0.155504
LBFGS:   21 20:23:09      -41.075163        0.141261
LBFGS:   22 20:23:09      -41.082808        0.101673
LBFGS:   23 20:23:09      -41.093803        0.134197
LBFGS:   24 20:23:09      -41.104510        0.138689
LBFGS:   25 20:23:09      -41.111114        0.130033
LBFGS:   26 20:23:10      -41.114570        0.117518
LBFGS:   27 20:23:10      -41.118023        0.101702
LBFGS:   28 20:23:10      -41.124643        0.100681
LBFGS:   29 20:23:10      -41.134018        0.105672
LBFGS:   30 20:23:10      -41.141582        0.100955
LBFGS:   31 20:23:10      -41.144959        0.121311
LBFGS:   32 20:23:10      -41.147288        0.109074
LBFGS:   33 20:23:11      -41.149573        0.087673
LBFGS:   34 20:23:11      -41.153165        0.091894
LBFGS:   35 20:23:11      -41.158571        0.078255
LBFGS:   36 20:23:11      -41.163929        0.061715
LBFGS:   37 20:23:11      -41.167265        0.060831
LBFGS:   38 20:23:11      -41.168672        0.053105
LBFGS:   39 20:23:11      -41.169525        0.056964
LBFGS:   40 20:23:12      -41.170791        0.058368
LBFGS:   41 20:23:12      -41.173213        0.079728
LBFGS:   42 20:23:12      -41.177259        0.111948
LBFGS:   43 20:23:12      -41.181573        0.098039
LBFGS:   44 20:23:12      -41.184032        0.054998
LBFGS:   45 20:23:12      -41.185309        0.045859
