       Step     Time          Energy          fmax
LBFGS:    0 20:22:09      -52.229519        0.937313
LBFGS:    1 20:22:09      -52.269134        0.601876
LBFGS:    2 20:22:09      -52.283279        0.255571
LBFGS:    3 20:22:09      -52.287064        0.193050
LBFGS:    4 20:22:10      -52.288880        0.172776
LBFGS:    5 20:22:10      -52.292433        0.168934
LBFGS:    6 20:22:10      -52.294424        0.144264
LBFGS:    7 20:22:10      -52.295378        0.080591
LBFGS:    8 20:22:10      -52.295905        0.064854
LBFGS:    9 20:22:10      -52.296649        0.090246
LBFGS:   10 20:22:11      -52.297651        0.133427
LBFGS:   11 20:22:11      -52.298744        0.116727
LBFGS:   12 20:22:11      -52.299605        0.076834
LBFGS:   13 20:22:11      -52.300203        0.064920
LBFGS:   14 20:22:11      -52.300608        0.059744
LBFGS:   15 20:22:11      -52.300855        0.052251
LBFGS:   16 20:22:11      -52.300999        0.032159
