       Step     Time          Energy          fmax
LBFGS:    0 19:17:47      -76.888952        1.361009
LBFGS:    1 19:17:47      -76.958301        0.712729
LBFGS:    2 19:17:47      -77.025519        0.668270
LBFGS:    3 19:17:47      -77.059722        0.514938
LBFGS:    4 19:17:47      -77.085685        0.398842
LBFGS:    5 19:17:48      -77.114270        0.445367
LBFGS:    6 19:17:48      -77.142138        0.506553
LBFGS:    7 19:17:48      -77.166762        0.427495
LBFGS:    8 19:17:48      -77.190097        0.400583
LBFGS:    9 19:17:48      -77.214089        0.389549
LBFGS:   10 19:17:48      -77.237568        0.593238
LBFGS:   11 19:17:48      -77.260211        0.667672
LBFGS:   12 19:17:49      -77.281362        0.497428
LBFGS:   13 19:17:49      -77.299735        0.289385
LBFGS:   14 19:17:49      -77.315710        0.287792
LBFGS:   15 19:17:49      -77.333198        0.410512
LBFGS:   16 19:17:49      -77.358047        0.548765
LBFGS:   17 19:17:49      -77.394658        0.618149
LBFGS:   18 19:17:49      -77.436547        0.593660
LBFGS:   19 19:17:49      -77.473448        0.474403
LBFGS:   20 19:17:49      -77.506371        0.485674
LBFGS:   21 19:17:50      -77.545859        0.588205
LBFGS:   22 19:17:50      -77.601537        0.637215
LBFGS:   23 19:17:50      -77.658487        0.638444
LBFGS:   24 19:17:50      -77.669363        1.803793
LBFGS:   25 19:17:50      -77.726884        0.478078
LBFGS:   26 19:17:50      -77.747292        0.442391
LBFGS:   27 19:17:50      -77.801893        0.606619
LBFGS:   28 19:17:50      -77.823648        0.326211
LBFGS:   29 19:17:50      -77.846694        0.416182
LBFGS:   30 19:17:51      -77.859867        0.566382
LBFGS:   31 19:17:51      -77.871642        0.293853
LBFGS:   32 19:17:51      -77.885315        0.269504
LBFGS:   33 19:17:51      -77.906645        0.176131
LBFGS:   34 19:17:51      -77.909639        0.217668
LBFGS:   35 19:17:51      -77.913418        0.142116
LBFGS:   36 19:17:51      -77.916163        0.095868
LBFGS:   37 19:17:51      -77.919967        0.079025
LBFGS:   38 19:17:52      -77.923115        0.101401
LBFGS:   39 19:17:52      -77.925311        0.104148
LBFGS:   40 19:17:52      -77.926703        0.116518
LBFGS:   41 19:17:52      -77.927839        0.109865
LBFGS:   42 19:17:52      -77.929123        0.087305
LBFGS:   43 19:17:52      -77.930524        0.090635
LBFGS:   44 19:17:52      -77.931705        0.090204
LBFGS:   45 19:17:52      -77.932522        0.062800
LBFGS:   46 19:17:52      -77.933169        0.062895
LBFGS:   47 19:17:53      -77.933827        0.060173
LBFGS:   48 19:17:53      -77.934448        0.073136
LBFGS:   49 19:17:53      -77.935059        0.068029
LBFGS:   50 19:17:53      -77.935783        0.056442
LBFGS:   51 19:17:53      -77.936643        0.054560
LBFGS:   52 19:17:53      -77.937449        0.064152
LBFGS:   53 19:17:53      -77.938071        0.077006
LBFGS:   54 19:17:53      -77.938626        0.090100
LBFGS:   55 19:17:54      -77.939340        0.078422
LBFGS:   56 19:17:54      -77.940296        0.055070
LBFGS:   57 19:17:54      -77.941250        0.058600
LBFGS:   58 19:17:54      -77.942019        0.091081
LBFGS:   59 19:17:54      -77.942715        0.083704
LBFGS:   60 19:17:54      -77.943380        0.063398
LBFGS:   61 19:17:55      -77.944134        0.047729
