       Step     Time          Energy          fmax
LBFGS:    0 19:18:05      -76.816588        1.235982
LBFGS:    1 19:18:05      -76.893497        0.806250
LBFGS:    2 19:18:06      -76.988345        0.715459
LBFGS:    3 19:18:06      -77.026843        0.595063
LBFGS:    4 19:18:06      -77.060815        0.415418
LBFGS:    5 19:18:06      -77.096771        0.469992
LBFGS:    6 19:18:06      -77.130773        0.433805
LBFGS:    7 19:18:06      -77.157998        0.408250
LBFGS:    8 19:18:07      -77.183910        0.423676
LBFGS:    9 19:18:07      -77.210725        0.462591
LBFGS:   10 19:18:07      -77.236804        0.587231
LBFGS:   11 19:18:07      -77.260706        0.569026
LBFGS:   12 19:18:07      -77.281564        0.361198
LBFGS:   13 19:18:07      -77.299279        0.277199
LBFGS:   14 19:18:07      -77.315932        0.321800
LBFGS:   15 19:18:08      -77.336643        0.460027
LBFGS:   16 19:18:08      -77.366417        0.562836
LBFGS:   17 19:18:08      -77.405310        0.492964
LBFGS:   18 19:18:08      -77.443263        0.540868
LBFGS:   19 19:18:08      -77.472822        0.429433
LBFGS:   20 19:18:08      -77.502098        0.500324
LBFGS:   21 19:18:09      -77.538762        0.581265
LBFGS:   22 19:18:09      -77.580372        0.500053
LBFGS:   23 19:18:09      -77.617586        0.437861
LBFGS:   24 19:18:09      -77.643077        0.352033
LBFGS:   25 19:18:09      -77.662202        0.351958
LBFGS:   26 19:18:09      -77.680999        0.369575
LBFGS:   27 19:18:09      -77.702758        0.288493
LBFGS:   28 19:18:10      -77.722325        0.307254
LBFGS:   29 19:18:10      -77.739482        0.325254
LBFGS:   30 19:18:10      -77.755258        0.321343
LBFGS:   31 19:18:10      -77.768695        0.306973
LBFGS:   32 19:18:10      -77.780091        0.222603
LBFGS:   33 19:18:11      -77.791628        0.153408
LBFGS:   34 19:18:11      -77.801333        0.253323
LBFGS:   35 19:18:11      -77.809880        0.232068
LBFGS:   36 19:18:11      -77.818312        0.171689
LBFGS:   37 19:18:11      -77.828254        0.194400
LBFGS:   38 19:18:11      -77.840304        0.260293
LBFGS:   39 19:18:12      -77.852888        0.304361
LBFGS:   40 19:18:12      -77.863961        0.313643
LBFGS:   41 19:18:12      -77.874631        0.322085
LBFGS:   42 19:18:12      -77.882442        0.303662
LBFGS:   43 19:18:12      -77.890193        0.293970
LBFGS:   44 19:18:12      -77.895061        0.173440
LBFGS:   45 19:18:13      -77.899560        0.166257
LBFGS:   46 19:18:13      -77.906700        0.266039
LBFGS:   47 19:18:13      -77.910958        0.235836
LBFGS:   48 19:18:13      -77.914394        0.144157
LBFGS:   49 19:18:13      -77.916382        0.101568
LBFGS:   50 19:18:13      -77.918171        0.100807
LBFGS:   51 19:18:14      -77.920202        0.180974
LBFGS:   52 19:18:14      -77.922087        0.126739
LBFGS:   53 19:18:14      -77.924312        0.148699
LBFGS:   54 19:18:14      -77.926081        0.106002
LBFGS:   55 19:18:14      -77.928007        0.100923
LBFGS:   56 19:18:14      -77.929334        0.116003
LBFGS:   57 19:18:15      -77.931635        0.115343
LBFGS:   58 19:18:15      -77.933452        0.132074
LBFGS:   59 19:18:15      -77.935285        0.146074
LBFGS:   60 19:18:15      -77.936820        0.139923
LBFGS:   61 19:18:15      -77.938376        0.127389
LBFGS:   62 19:18:15      -77.939731        0.103857
LBFGS:   63 19:18:15      -77.940724        0.080340
LBFGS:   64 19:18:16      -77.941393        0.040856
