       Step     Time          Energy          fmax
LBFGS:    0 20:22:33      -76.888952        1.361010
LBFGS:    1 20:22:33      -76.958301        0.712730
LBFGS:    2 20:22:33      -77.025519        0.668269
LBFGS:    3 20:22:33      -77.059721        0.514939
LBFGS:    4 20:22:33      -77.085685        0.398845
LBFGS:    5 20:22:33      -77.114269        0.445372
LBFGS:    6 20:22:33      -77.142138        0.506547
LBFGS:    7 20:22:33      -77.166755        0.427557
LBFGS:    8 20:22:34      -77.190100        0.400542
LBFGS:    9 20:22:34      -77.214090        0.389430
LBFGS:   10 20:22:34      -77.237566        0.593242
LBFGS:   11 20:22:34      -77.260215        0.667665
LBFGS:   12 20:22:34      -77.281357        0.497433
LBFGS:   13 20:22:34      -77.299738        0.289398
LBFGS:   14 20:22:34      -77.315709        0.287769
LBFGS:   15 20:22:35      -77.333204        0.410596
LBFGS:   16 20:22:35      -77.358040        0.548752
LBFGS:   17 20:22:35      -77.394653        0.618275
LBFGS:   18 20:22:35      -77.436553        0.593847
LBFGS:   19 20:22:35      -77.473453        0.474336
LBFGS:   20 20:22:35      -77.506375        0.485700
LBFGS:   21 20:22:35      -77.545855        0.588185
LBFGS:   22 20:22:36      -77.601548        0.637150
LBFGS:   23 20:22:36      -77.658514        0.638213
LBFGS:   24 20:22:36      -77.669592        1.799960
LBFGS:   25 20:22:36      -77.726921        0.481327
LBFGS:   26 20:22:36      -77.747339        0.442582
LBFGS:   27 20:22:36      -77.801874        0.611174
LBFGS:   28 20:22:37      -77.823536        0.325557
LBFGS:   29 20:22:37      -77.846618        0.420939
LBFGS:   30 20:22:37      -77.859954        0.556865
LBFGS:   31 20:22:37      -77.871688        0.292789
LBFGS:   32 20:22:37      -77.885519        0.275494
LBFGS:   33 20:22:37      -77.906567        0.177162
LBFGS:   34 20:22:37      -77.909606        0.215032
LBFGS:   35 20:22:38      -77.913420        0.141243
LBFGS:   36 20:22:38      -77.916135        0.096135
LBFGS:   37 20:22:38      -77.919963        0.078629
LBFGS:   38 20:22:38      -77.923100        0.101360
LBFGS:   39 20:22:38      -77.925301        0.104207
LBFGS:   40 20:22:38      -77.926701        0.116412
LBFGS:   41 20:22:38      -77.927841        0.108876
LBFGS:   42 20:22:39      -77.929119        0.085590
LBFGS:   43 20:22:39      -77.930513        0.090657
LBFGS:   44 20:22:39      -77.931693        0.090245
LBFGS:   45 20:22:39      -77.932524        0.062889
LBFGS:   46 20:22:39      -77.933172        0.062588
LBFGS:   47 20:22:39      -77.933821        0.059983
LBFGS:   48 20:22:39      -77.934442        0.072754
LBFGS:   49 20:22:40      -77.935045        0.067613
LBFGS:   50 20:22:40      -77.935779        0.056254
LBFGS:   51 20:22:40      -77.936647        0.054341
LBFGS:   52 20:22:40      -77.937446        0.063531
LBFGS:   53 20:22:40      -77.938071        0.077457
LBFGS:   54 20:22:40      -77.938622        0.090108
LBFGS:   55 20:22:40      -77.939336        0.077773
LBFGS:   56 20:22:41      -77.940290        0.054660
LBFGS:   57 20:22:41      -77.941236        0.059921
LBFGS:   58 20:22:41      -77.942009        0.091520
LBFGS:   59 20:22:41      -77.942711        0.083429
LBFGS:   60 20:22:41      -77.943375        0.062673
LBFGS:   61 20:22:41      -77.944121        0.046940
