       Step     Time          Energy          fmax
LBFGS:    0 20:22:12      -38.880150        1.540545
LBFGS:    1 20:22:12      -38.963533        1.120062
LBFGS:    2 20:22:12      -39.100493        0.524856
LBFGS:    3 20:22:12      -39.119850        0.571845
LBFGS:    4 20:22:13      -39.148234        0.655796
LBFGS:    5 20:22:13      -39.195715        0.660309
LBFGS:    6 20:22:13      -39.262824        0.497879
LBFGS:    7 20:22:13      -39.304569        0.541480
LBFGS:    8 20:22:13      -39.318697        0.543107
LBFGS:    9 20:22:13      -39.339487        0.486687
LBFGS:   10 20:22:13      -39.366919        0.612062
LBFGS:   11 20:22:14      -39.396077        0.576609
LBFGS:   12 20:22:14      -39.419601        0.378380
LBFGS:   13 20:22:14      -39.438617        0.267918
LBFGS:   14 20:22:14      -39.460177        0.253768
LBFGS:   15 20:22:14      -39.486249        0.362540
LBFGS:   16 20:22:14      -39.513053        0.415425
LBFGS:   17 20:22:14      -39.534759        0.267277
LBFGS:   18 20:22:14      -39.549738        0.271179
LBFGS:   19 20:22:15      -39.567381        0.259121
LBFGS:   20 20:22:15      -39.588231        0.271230
LBFGS:   21 20:22:15      -39.601126        0.233524
LBFGS:   22 20:22:15      -39.607407        0.141420
LBFGS:   23 20:22:15      -39.612580        0.082808
LBFGS:   24 20:22:15      -39.620882        0.108946
LBFGS:   25 20:22:15      -39.631119        0.146412
LBFGS:   26 20:22:15      -39.639437        0.173484
LBFGS:   27 20:22:15      -39.643547        0.172717
LBFGS:   28 20:22:16      -39.647147        0.135030
LBFGS:   29 20:22:16      -39.650627        0.079822
LBFGS:   30 20:22:16      -39.653246        0.063393
LBFGS:   31 20:22:16      -39.654978        0.047193
