       Step     Time          Energy          fmax
LBFGS:    0 20:22:25      -76.877397        1.372252
LBFGS:    1 20:22:25      -76.976733        0.932576
LBFGS:    2 20:22:25      -77.087264        0.775795
LBFGS:    3 20:22:26      -77.111371        0.439996
LBFGS:    4 20:22:26      -77.134828        0.430935
LBFGS:    5 20:22:26      -77.161712        0.446549
LBFGS:    6 20:22:26      -77.188006        0.345348
LBFGS:    7 20:22:26      -77.206953        0.381812
LBFGS:    8 20:22:26      -77.225157        0.332478
LBFGS:    9 20:22:26      -77.248820        0.602079
LBFGS:   10 20:22:26      -77.279020        0.711807
LBFGS:   11 20:22:26      -77.310307        0.545655
LBFGS:   12 20:22:27      -77.335411        0.312332
LBFGS:   13 20:22:27      -77.353714        0.309542
LBFGS:   14 20:22:27      -77.370929        0.405370
LBFGS:   15 20:22:27      -77.394120        0.441473
LBFGS:   16 20:22:27      -77.421400        0.423816
LBFGS:   17 20:22:27      -77.447807        0.362032
LBFGS:   18 20:22:27      -77.473362        0.538919
LBFGS:   19 20:22:27      -77.502396        0.583256
LBFGS:   20 20:22:27      -77.536044        0.633730
LBFGS:   21 20:22:28      -77.575709        0.599480
LBFGS:   22 20:22:28      -77.622611        0.599772
LBFGS:   23 20:22:28      -77.662367        0.475747
LBFGS:   24 20:22:28      -77.685195        0.333696
LBFGS:   25 20:22:28      -77.699880        0.305800
LBFGS:   26 20:22:28      -77.711655        0.233553
LBFGS:   27 20:22:28      -77.723702        0.261837
LBFGS:   28 20:22:28      -77.735164        0.221088
LBFGS:   29 20:22:28      -77.745446        0.275712
LBFGS:   30 20:22:29      -77.756058        0.287057
LBFGS:   31 20:22:29      -77.769980        0.319846
LBFGS:   32 20:22:29      -77.788560        0.353850
LBFGS:   33 20:22:29      -77.808446        0.277287
LBFGS:   34 20:22:29      -77.827028        0.243895
LBFGS:   35 20:22:29      -77.841596        0.232300
LBFGS:   36 20:22:29      -77.853412        0.254529
LBFGS:   37 20:22:29      -77.866501        0.216864
LBFGS:   38 20:22:30      -77.880558        0.197807
LBFGS:   39 20:22:30      -77.893816        0.216682
LBFGS:   40 20:22:30      -77.903785        0.253227
LBFGS:   41 20:22:30      -77.908173        0.547339
LBFGS:   42 20:22:30      -77.912825        0.490923
LBFGS:   43 20:22:30      -77.919108        0.189713
LBFGS:   44 20:22:30      -77.924339        0.114280
LBFGS:   45 20:22:30      -77.928871        0.184230
LBFGS:   46 20:22:30      -77.932098        0.156677
LBFGS:   47 20:22:31      -77.934707        0.110562
LBFGS:   48 20:22:31      -77.936302        0.078267
LBFGS:   49 20:22:31      -77.937569        0.080671
LBFGS:   50 20:22:31      -77.938860        0.096692
LBFGS:   51 20:22:31      -77.940265        0.111479
LBFGS:   52 20:22:31      -77.941782        0.122618
LBFGS:   53 20:22:31      -77.943259        0.128743
LBFGS:   54 20:22:31      -77.944753        0.098377
LBFGS:   55 20:22:31      -77.946086        0.089922
LBFGS:   56 20:22:32      -77.947481        0.094304
LBFGS:   57 20:22:32      -77.948928        0.091834
LBFGS:   58 20:22:32      -77.950514        0.085528
LBFGS:   59 20:22:32      -77.951710        0.103858
LBFGS:   60 20:22:32      -77.952598        0.081647
LBFGS:   61 20:22:32      -77.953230        0.143192
LBFGS:   62 20:22:32      -77.953859        0.098297
LBFGS:   63 20:22:32      -77.954529        0.082974
LBFGS:   64 20:22:32      -77.955082        0.049059
