       Step     Time          Energy          fmax
LBFGS:    0 20:22:16      -38.716522        1.205174
LBFGS:    1 20:22:16      -38.777623        1.153881
LBFGS:    2 20:22:16      -38.947191        0.906944
LBFGS:    3 20:22:16      -38.990567        0.850032
LBFGS:    4 20:22:16      -39.043071        0.840744
LBFGS:    5 20:22:17      -39.104965        0.802111
LBFGS:    6 20:22:17      -39.175048        0.862349
LBFGS:    7 20:22:17      -39.222197        0.459164
LBFGS:    8 20:22:17      -39.238863        0.420333
LBFGS:    9 20:22:17      -39.257411        0.724264
LBFGS:   10 20:22:17      -39.283762        0.976472
LBFGS:   11 20:22:17      -39.314458        0.884070
LBFGS:   12 20:22:17      -39.343794        0.465973
LBFGS:   13 20:22:18      -39.366355        0.363509
LBFGS:   14 20:22:18      -39.386587        0.321959
LBFGS:   15 20:22:18      -39.410255        0.489368
LBFGS:   16 20:22:18      -39.443478        0.479439
LBFGS:   17 20:22:18      -39.478967        0.325765
LBFGS:   18 20:22:18      -39.507836        0.411867
LBFGS:   19 20:22:19      -39.531425        0.448661
LBFGS:   20 20:22:19      -39.552974        0.423870
LBFGS:   21 20:22:19      -39.566085        0.361369
LBFGS:   22 20:22:19      -39.577424        0.296936
LBFGS:   23 20:22:19      -39.598948        0.197201
LBFGS:   24 20:22:19      -39.617503        0.148274
LBFGS:   25 20:22:19      -39.630020        0.171327
LBFGS:   26 20:22:20      -39.639595        0.147572
LBFGS:   27 20:22:20      -39.646135        0.104742
LBFGS:   28 20:22:20      -39.650866        0.080390
LBFGS:   29 20:22:20      -39.653655        0.057788
LBFGS:   30 20:22:20      -39.654605        0.046397
