       Step     Time          Energy          fmax
LBFGS:    0 20:22:20      -38.810495        1.234470
LBFGS:    1 20:22:20      -38.863202        1.101937
LBFGS:    2 20:22:21      -38.981000        1.135766
LBFGS:    3 20:22:21      -39.028491        0.796113
LBFGS:    4 20:22:21      -39.067435        0.794008
LBFGS:    5 20:22:21      -39.117689        0.762387
LBFGS:    6 20:22:21      -39.179642        0.994835
LBFGS:    7 20:22:22      -39.243190        0.570079
LBFGS:    8 20:22:22      -39.266353        0.435625
LBFGS:    9 20:22:22      -39.281189        0.505073
LBFGS:   10 20:22:22      -39.310602        0.938648
LBFGS:   11 20:22:22      -39.332105        0.942998
LBFGS:   12 20:22:22      -39.365132        0.664321
LBFGS:   13 20:22:22      -39.391631        0.382454
LBFGS:   14 20:22:23      -39.419869        0.345055
LBFGS:   15 20:22:23      -39.450038        0.308060
LBFGS:   16 20:22:23      -39.482129        0.341180
LBFGS:   17 20:22:23      -39.515376        0.285025
LBFGS:   18 20:22:23      -39.548306        0.373495
LBFGS:   19 20:22:23      -39.563195        0.559011
LBFGS:   20 20:22:23      -39.582661        0.648952
LBFGS:   21 20:22:23      -39.594174        0.456326
LBFGS:   22 20:22:24      -39.616365        0.357678
LBFGS:   23 20:22:24      -39.631314        0.466936
LBFGS:   24 20:22:24      -39.640044        0.400539
LBFGS:   25 20:22:24      -39.645112        0.240696
LBFGS:   26 20:22:24      -39.650239        0.139388
LBFGS:   27 20:22:24      -39.659737        0.261770
LBFGS:   28 20:22:24      -39.670123        0.177245
LBFGS:   29 20:22:24      -39.674523        0.075364
LBFGS:   30 20:22:24      -39.675615        0.147585
LBFGS:   31 20:22:25      -39.676717        0.068167
LBFGS:   32 20:22:25      -39.678049        0.093588
LBFGS:   33 20:22:25      -39.679921        0.114423
LBFGS:   34 20:22:25      -39.680798        0.111076
LBFGS:   35 20:22:25      -39.681456        0.086131
LBFGS:   36 20:22:25      -39.681847        0.049056
