       Step     Time          Energy          fmax
LBFGS:    0 20:23:41      -78.239343        1.369795
LBFGS:    1 20:23:41      -78.342254        0.875166
LBFGS:    2 20:23:42      -78.484048        0.583620
LBFGS:    3 20:23:42      -78.535088        0.587719
LBFGS:    4 20:23:42      -78.597941        0.414800
LBFGS:    5 20:23:42      -78.666151        0.585973
LBFGS:    6 20:23:42      -78.731933        0.622990
LBFGS:    7 20:23:42      -78.783258        0.557291
LBFGS:    8 20:23:42      -78.833399        0.412307
LBFGS:    9 20:23:42      -78.884526        0.574720
LBFGS:   10 20:23:42      -78.944241        0.844699
LBFGS:   11 20:23:43      -79.003359        0.770173
LBFGS:   12 20:23:43      -79.046493        0.442616
LBFGS:   13 20:23:43      -79.074347        0.342160
LBFGS:   14 20:23:43      -79.096361        0.347253
LBFGS:   15 20:23:43      -79.115628        0.385211
LBFGS:   16 20:23:43      -79.131361        0.328141
LBFGS:   17 20:23:43      -79.141742        0.249144
LBFGS:   18 20:23:43      -79.147050        0.193814
LBFGS:   19 20:23:43      -79.150819        0.204436
LBFGS:   20 20:23:44      -79.155764        0.230003
LBFGS:   21 20:23:44      -79.162354        0.212056
LBFGS:   22 20:23:44      -79.169500        0.244004
LBFGS:   23 20:23:44      -79.175830        0.206888
LBFGS:   24 20:23:44      -79.182517        0.261780
LBFGS:   25 20:23:44      -79.193011        0.391734
LBFGS:   26 20:23:44      -79.210735        0.543490
LBFGS:   27 20:23:44      -79.232042        0.619358
LBFGS:   28 20:23:44      -79.255030        0.432313
LBFGS:   29 20:23:45      -79.270537        0.566405
LBFGS:   30 20:23:45      -79.281425        0.535880
LBFGS:   31 20:23:45      -79.294969        0.296353
LBFGS:   32 20:23:45      -79.312990        0.504655
LBFGS:   33 20:23:45      -79.319772        0.287464
LBFGS:   34 20:23:45      -79.326017        0.180857
LBFGS:   35 20:23:45      -79.332222        0.189408
LBFGS:   36 20:23:45      -79.342352        0.180987
LBFGS:   37 20:23:45      -79.354391        0.321754
LBFGS:   38 20:23:46      -79.361074        0.248877
LBFGS:   39 20:23:46      -79.366361        0.369641
LBFGS:   40 20:23:46      -79.370769        0.196521
LBFGS:   41 20:23:46      -79.375864        0.212316
LBFGS:   42 20:23:46      -79.379177        0.317881
LBFGS:   43 20:23:46      -79.385499        0.387138
LBFGS:   44 20:23:46      -79.391847        0.339037
LBFGS:   45 20:23:46      -79.398461        0.227216
LBFGS:   46 20:23:47      -79.403379        0.157435
LBFGS:   47 20:23:47      -79.407258        0.153977
LBFGS:   48 20:23:47      -79.411474        0.162787
LBFGS:   49 20:23:47      -79.416397        0.172929
LBFGS:   50 20:23:47      -79.420614        0.185627
LBFGS:   51 20:23:47      -79.422235        0.350524
LBFGS:   52 20:23:47      -79.425587        0.136742
LBFGS:   53 20:23:48      -79.427701        0.130334
LBFGS:   54 20:23:48      -79.430386        0.181811
LBFGS:   55 20:23:48      -79.433455        0.167099
LBFGS:   56 20:23:48      -79.437241        0.133954
LBFGS:   57 20:23:48      -79.441077        0.177214
LBFGS:   58 20:23:48      -79.444820        0.187662
LBFGS:   59 20:23:48      -79.448505        0.141040
LBFGS:   60 20:23:49      -79.451989        0.106825
LBFGS:   61 20:23:49      -79.455162        0.124609
LBFGS:   62 20:23:49      -79.458354        0.174553
LBFGS:   63 20:23:49      -79.461433        0.152247
LBFGS:   64 20:23:49      -79.463860        0.145539
LBFGS:   65 20:23:49      -79.465492        0.101981
LBFGS:   66 20:23:49      -79.466700        0.094049
LBFGS:   67 20:23:50      -79.467726        0.102776
LBFGS:   68 20:23:50      -79.468694        0.076728
LBFGS:   69 20:23:50      -79.469566        0.065767
LBFGS:   70 20:23:50      -79.470340        0.075363
LBFGS:   71 20:23:50      -79.471250        0.098378
LBFGS:   72 20:23:50      -79.472580        0.117460
LBFGS:   73 20:23:51      -79.474172        0.121808
LBFGS:   74 20:23:51      -79.475562        0.077344
LBFGS:   75 20:23:51      -79.476626        0.079103
LBFGS:   76 20:23:51      -79.477578        0.064409
LBFGS:   77 20:23:51      -79.478560        0.089866
LBFGS:   78 20:23:51      -79.479606        0.086769
LBFGS:   79 20:23:51      -79.480553        0.062569
LBFGS:   80 20:23:52      -79.481322        0.062051
LBFGS:   81 20:23:52      -79.482085        0.075168
LBFGS:   82 20:23:52      -79.483195        0.097940
LBFGS:   83 20:23:52      -79.484590        0.098541
LBFGS:   84 20:23:52      -79.485751        0.078806
LBFGS:   85 20:23:52      -79.486432        0.061781
LBFGS:   86 20:23:52      -79.486927        0.053913
LBFGS:   87 20:23:53      -79.487557        0.069059
LBFGS:   88 20:23:53      -79.488495        0.102928
LBFGS:   89 20:23:53      -79.489537        0.094154
LBFGS:   90 20:23:53      -79.490327        0.060926
LBFGS:   91 20:23:53      -79.490870        0.057300
LBFGS:   92 20:23:53      -79.491460        0.059136
LBFGS:   93 20:23:53      -79.492399        0.100442
LBFGS:   94 20:23:53      -79.493782        0.119501
LBFGS:   95 20:23:53      -79.495164        0.098834
LBFGS:   96 20:23:54      -79.496004        0.056616
LBFGS:   97 20:23:54      -79.496448        0.043012
