       Step     Time          Energy          fmax
LBFGS:    0 20:22:52      -40.150282        1.253199
LBFGS:    1 20:22:52      -40.226819        0.938336
LBFGS:    2 20:22:53      -40.389402        0.463331
LBFGS:    3 20:22:53      -40.421711        0.596968
LBFGS:    4 20:22:53      -40.496430        0.687011
LBFGS:    5 20:22:53      -40.582379        0.834587
LBFGS:    6 20:22:53      -40.672791        0.756375
LBFGS:    7 20:22:53      -40.733947        0.528773
LBFGS:    8 20:22:53      -40.775181        0.498938
LBFGS:    9 20:22:53      -40.815770        0.858216
LBFGS:   10 20:22:54      -40.893001        1.047556
LBFGS:   11 20:22:54      -40.972713        0.784194
LBFGS:   12 20:22:54      -41.011077        0.345189
LBFGS:   13 20:22:54      -41.023042        0.260636
LBFGS:   14 20:22:54      -41.034106        0.223407
LBFGS:   15 20:22:54      -41.043919        0.246328
LBFGS:   16 20:22:54      -41.053866        0.205916
LBFGS:   17 20:22:54      -41.062673        0.142899
LBFGS:   18 20:22:55      -41.067029        0.108267
LBFGS:   19 20:22:55      -41.068733        0.146276
LBFGS:   20 20:22:55      -41.070983        0.155509
LBFGS:   21 20:22:55      -41.075165        0.141352
LBFGS:   22 20:22:55      -41.082801        0.101666
LBFGS:   23 20:22:55      -41.093802        0.134199
LBFGS:   24 20:22:56      -41.104515        0.138654
LBFGS:   25 20:22:56      -41.111115        0.130035
LBFGS:   26 20:22:56      -41.114567        0.117520
LBFGS:   27 20:22:56      -41.118021        0.101695
LBFGS:   28 20:22:56      -41.124643        0.100687
LBFGS:   29 20:22:56      -41.134017        0.105529
LBFGS:   30 20:22:56      -41.141583        0.100964
LBFGS:   31 20:22:57      -41.144959        0.121308
LBFGS:   32 20:22:57      -41.147285        0.109068
LBFGS:   33 20:22:57      -41.149575        0.087676
LBFGS:   34 20:22:57      -41.153165        0.091890
LBFGS:   35 20:22:57      -41.158571        0.078256
LBFGS:   36 20:22:57      -41.163929        0.061624
LBFGS:   37 20:22:57      -41.167262        0.060695
LBFGS:   38 20:22:58      -41.168671        0.053089
LBFGS:   39 20:22:58      -41.169523        0.056962
LBFGS:   40 20:22:58      -41.170790        0.058356
LBFGS:   41 20:22:58      -41.173220        0.079938
LBFGS:   42 20:22:58      -41.177251        0.111888
LBFGS:   43 20:22:58      -41.181571        0.098208
LBFGS:   44 20:22:58      -41.184031        0.055006
LBFGS:   45 20:22:59      -41.185311        0.045856
