       Step     Time          Energy          fmax
LBFGS:    0 20:22:51      -26.233008        0.396521
LBFGS:    1 20:22:51      -26.258306        0.383960
LBFGS:    2 20:22:51      -26.569958        0.267636
LBFGS:    3 20:22:52      -26.619050        0.370788
LBFGS:    4 20:22:52      -26.652044        0.407546
LBFGS:    5 20:22:52      -26.723344        0.408006
LBFGS:    6 20:22:52      -26.832990        0.367165
LBFGS:    7 20:22:52      -26.906455        0.272513
LBFGS:    8 20:22:52      -26.988218        0.069191
LBFGS:    9 20:22:52      -26.998733        0.042995
