       Step     Time          Energy          fmax
LBFGS:    0 12:10:33      -76.888953        1.361009
LBFGS:    1 12:10:33      -76.958301        0.712730
LBFGS:    2 12:10:33      -77.025520        0.668270
LBFGS:    3 12:10:33      -77.059720        0.514934
LBFGS:    4 12:10:33      -77.085685        0.398843
LBFGS:    5 12:10:33      -77.114269        0.445287
LBFGS:    6 12:10:33      -77.142144        0.506590
LBFGS:    7 12:10:33      -77.166755        0.427554
LBFGS:    8 12:10:33      -77.190099        0.400565
LBFGS:    9 12:10:34      -77.214087        0.389422
LBFGS:   10 12:10:34      -77.237571        0.593332
LBFGS:   11 12:10:34      -77.260207        0.667606
LBFGS:   12 12:10:34      -77.281363        0.497440
LBFGS:   13 12:10:34      -77.299740        0.289406
LBFGS:   14 12:10:34      -77.315708        0.287781
LBFGS:   15 12:10:34      -77.333201        0.410511
LBFGS:   16 12:10:34      -77.358043        0.548904
LBFGS:   17 12:10:34      -77.394654        0.618167
LBFGS:   18 12:10:35      -77.436555        0.593609
LBFGS:   19 12:10:35      -77.473449        0.474448
LBFGS:   20 12:10:35      -77.506375        0.485714
LBFGS:   21 12:10:35      -77.545857        0.588214
LBFGS:   22 12:10:35      -77.601543        0.637154
LBFGS:   23 12:10:35      -77.658505        0.638316
LBFGS:   24 12:10:35      -77.669533        1.800732
LBFGS:   25 12:10:35      -77.726912        0.480447
LBFGS:   26 12:10:36      -77.747328        0.442565
LBFGS:   27 12:10:36      -77.801884        0.609844
LBFGS:   28 12:10:36      -77.823575        0.325749
LBFGS:   29 12:10:36      -77.846636        0.419856
LBFGS:   30 12:10:36      -77.859926        0.559845
LBFGS:   31 12:10:36      -77.871678        0.293075
LBFGS:   32 12:10:36      -77.885468        0.274371
LBFGS:   33 12:10:36      -77.906582        0.176861
LBFGS:   34 12:10:36      -77.909613        0.215783
LBFGS:   35 12:10:37      -77.913421        0.141382
LBFGS:   36 12:10:37      -77.916139        0.096096
LBFGS:   37 12:10:37      -77.919962        0.078742
LBFGS:   38 12:10:37      -77.923105        0.101402
LBFGS:   39 12:10:37      -77.925304        0.104254
LBFGS:   40 12:10:37      -77.926703        0.116524
LBFGS:   41 12:10:37      -77.927842        0.109207
LBFGS:   42 12:10:37      -77.929118        0.086091
LBFGS:   43 12:10:37      -77.930517        0.090740
LBFGS:   44 12:10:38      -77.931698        0.090312
LBFGS:   45 12:10:38      -77.932520        0.062844
LBFGS:   46 12:10:38      -77.933169        0.062684
LBFGS:   47 12:10:38      -77.933825        0.060078
LBFGS:   48 12:10:38      -77.934445        0.072925
LBFGS:   49 12:10:38      -77.935050        0.067768
LBFGS:   50 12:10:38      -77.935775        0.056328
LBFGS:   51 12:10:38      -77.936644        0.054381
LBFGS:   52 12:10:38      -77.937448        0.063741
LBFGS:   53 12:10:39      -77.938067        0.077337
LBFGS:   54 12:10:39      -77.938627        0.090115
LBFGS:   55 12:10:39      -77.939343        0.077939
LBFGS:   56 12:10:39      -77.940288        0.054821
LBFGS:   57 12:10:39      -77.941244        0.059551
LBFGS:   58 12:10:39      -77.942013        0.091350
LBFGS:   59 12:10:39      -77.942712        0.083451
LBFGS:   60 12:10:39      -77.943373        0.062877
LBFGS:   61 12:10:39      -77.944132        0.047265
