       Step     Time          Energy          fmax
LBFGS:    0 12:11:20      -78.239341        1.369795
LBFGS:    1 12:11:20      -78.342254        0.875167
LBFGS:    2 12:11:20      -78.484048        0.583622
LBFGS:    3 12:11:20      -78.535088        0.587718
LBFGS:    4 12:11:20      -78.597941        0.414797
LBFGS:    5 12:11:20      -78.666151        0.585972
LBFGS:    6 12:11:20      -78.731933        0.622991
LBFGS:    7 12:11:20      -78.783257        0.557290
LBFGS:    8 12:11:21      -78.833398        0.412289
LBFGS:    9 12:11:21      -78.884531        0.574720
LBFGS:   10 12:11:21      -78.944237        0.844718
LBFGS:   11 12:11:21      -79.003359        0.770180
LBFGS:   12 12:11:21      -79.046494        0.442609
LBFGS:   13 12:11:21      -79.074345        0.342160
LBFGS:   14 12:11:21      -79.096358        0.347233
LBFGS:   15 12:11:21      -79.115627        0.385236
LBFGS:   16 12:11:21      -79.131357        0.328224
LBFGS:   17 12:11:22      -79.141741        0.249277
LBFGS:   18 12:11:22      -79.147048        0.193693
LBFGS:   19 12:11:22      -79.150820        0.204428
LBFGS:   20 12:11:22      -79.155767        0.230012
LBFGS:   21 12:11:22      -79.162353        0.212056
LBFGS:   22 12:11:22      -79.169497        0.243996
LBFGS:   23 12:11:22      -79.175834        0.206901
LBFGS:   24 12:11:22      -79.182519        0.261778
LBFGS:   25 12:11:23      -79.193016        0.391775
LBFGS:   26 12:11:23      -79.210739        0.543626
LBFGS:   27 12:11:23      -79.232044        0.619129
LBFGS:   28 12:11:23      -79.255041        0.432219
LBFGS:   29 12:11:23      -79.270540        0.566204
LBFGS:   30 12:11:24      -79.281421        0.536397
LBFGS:   31 12:11:24      -79.294972        0.296408
LBFGS:   32 12:11:24      -79.312979        0.504232
LBFGS:   33 12:11:24      -79.319767        0.287957
LBFGS:   34 12:11:24      -79.326015        0.181366
LBFGS:   35 12:11:25      -79.332214        0.189425
LBFGS:   36 12:11:25      -79.342344        0.181046
LBFGS:   37 12:11:25      -79.354388        0.323063
LBFGS:   38 12:11:25      -79.361041        0.250911
LBFGS:   39 12:11:25      -79.366394        0.365741
LBFGS:   40 12:11:26      -79.370775        0.196362
LBFGS:   41 12:11:26      -79.375906        0.213008
LBFGS:   42 12:11:26      -79.379204        0.317244
LBFGS:   43 12:11:26      -79.385595        0.387584
LBFGS:   44 12:11:26      -79.391932        0.339177
LBFGS:   45 12:11:27      -79.398542        0.226521
LBFGS:   46 12:11:27      -79.403425        0.157524
LBFGS:   47 12:11:27      -79.407304        0.154145
LBFGS:   48 12:11:27      -79.411534        0.162541
LBFGS:   49 12:11:27      -79.416464        0.173536
LBFGS:   50 12:11:27      -79.420625        0.190807
LBFGS:   51 12:11:28      -79.422282        0.343805
LBFGS:   52 12:11:28      -79.425581        0.136439
LBFGS:   53 12:11:28      -79.427737        0.130436
LBFGS:   54 12:11:28      -79.430364        0.182218
LBFGS:   55 12:11:28      -79.433478        0.168647
LBFGS:   56 12:11:28      -79.437251        0.134803
LBFGS:   57 12:11:29      -79.441094        0.176260
LBFGS:   58 12:11:29      -79.444823        0.187580
LBFGS:   59 12:11:29      -79.448515        0.141434
LBFGS:   60 12:11:29      -79.451996        0.106749
LBFGS:   61 12:11:29      -79.455173        0.124115
LBFGS:   62 12:11:29      -79.458363        0.174224
LBFGS:   63 12:11:30      -79.461439        0.152303
LBFGS:   64 12:11:30      -79.463864        0.145397
LBFGS:   65 12:11:30      -79.465495        0.101860
LBFGS:   66 12:11:30      -79.466702        0.093988
LBFGS:   67 12:11:30      -79.467732        0.102857
LBFGS:   68 12:11:30      -79.468694        0.077085
LBFGS:   69 12:11:31      -79.469562        0.065776
LBFGS:   70 12:11:31      -79.470343        0.075258
LBFGS:   71 12:11:31      -79.471259        0.098567
LBFGS:   72 12:11:31      -79.472584        0.117436
LBFGS:   73 12:11:31      -79.474178        0.121643
LBFGS:   74 12:11:31      -79.475567        0.077070
LBFGS:   75 12:11:32      -79.476628        0.079054
LBFGS:   76 12:11:32      -79.477576        0.064383
LBFGS:   77 12:11:32      -79.478564        0.089919
LBFGS:   78 12:11:32      -79.479608        0.086446
LBFGS:   79 12:11:32      -79.480559        0.062532
LBFGS:   80 12:11:32      -79.481323        0.062045
LBFGS:   81 12:11:32      -79.482092        0.075141
LBFGS:   82 12:11:33      -79.483200        0.097816
LBFGS:   83 12:11:33      -79.484593        0.098204
LBFGS:   84 12:11:33      -79.485751        0.078476
LBFGS:   85 12:11:33      -79.486436        0.061717
LBFGS:   86 12:11:33      -79.486928        0.053882
LBFGS:   87 12:11:33      -79.487561        0.068932
LBFGS:   88 12:11:34      -79.488498        0.102482
LBFGS:   89 12:11:34      -79.489542        0.093572
LBFGS:   90 12:11:34      -79.490327        0.060872
LBFGS:   91 12:11:34      -79.490870        0.057252
LBFGS:   92 12:11:34      -79.491461        0.058965
LBFGS:   93 12:11:34      -79.492400        0.099860
LBFGS:   94 12:11:34      -79.493784        0.118767
LBFGS:   95 12:11:35      -79.495163        0.098161
LBFGS:   96 12:11:35      -79.496004        0.056471
LBFGS:   97 12:11:35      -79.496447        0.042986
