       Step     Time          Energy          fmax
LBFGS:    0 12:12:38      -74.489635        1.509158
LBFGS:    1 12:12:38      -74.611033        1.237466
LBFGS:    2 12:12:38      -74.750062        0.792539
LBFGS:    3 12:12:39      -74.794430        0.747418
LBFGS:    4 12:12:39      -74.972775        1.228632
LBFGS:    5 12:12:39      -75.025342        0.838423
LBFGS:    6 12:12:39      -75.103062        0.629509
LBFGS:    7 12:12:39      -75.141619        0.735918
LBFGS:    8 12:12:39      -75.219724        0.853362
LBFGS:    9 12:12:40      -75.264113        0.512739
LBFGS:   10 12:12:40      -75.304298        0.463721
LBFGS:   11 12:12:40      -75.337856        0.453634
LBFGS:   12 12:12:40      -75.365170        0.568734
LBFGS:   13 12:12:40      -75.384479        0.386293
LBFGS:   14 12:12:40      -75.399706        0.234271
LBFGS:   15 12:12:41      -75.410870        0.231965
LBFGS:   16 12:12:41      -75.418045        0.262580
LBFGS:   17 12:12:41      -75.422524        0.162371
LBFGS:   18 12:12:41      -75.426197        0.165108
LBFGS:   19 12:12:41      -75.429830        0.165565
LBFGS:   20 12:12:42      -75.433106        0.168611
LBFGS:   21 12:12:42      -75.435701        0.132633
LBFGS:   22 12:12:42      -75.438077        0.120256
LBFGS:   23 12:12:42      -75.441220        0.179218
LBFGS:   24 12:12:42      -75.445851        0.217391
LBFGS:   25 12:12:42      -75.452316        0.302013
LBFGS:   26 12:12:43      -75.461252        0.308369
LBFGS:   27 12:12:43      -75.474536        0.364518
LBFGS:   28 12:12:43      -75.496184        0.459745
LBFGS:   29 12:12:43      -75.526608        0.582968
LBFGS:   30 12:12:43      -75.559191        0.549723
LBFGS:   31 12:12:43      -75.592149        0.390267
LBFGS:   32 12:12:44      -75.607379        0.641843
LBFGS:   33 12:12:44      -75.640292        0.543862
LBFGS:   34 12:12:44      -75.665885        0.326270
LBFGS:   35 12:12:44      -75.691383        0.253888
LBFGS:   36 12:12:44      -75.700818        0.364931
LBFGS:   37 12:12:44      -75.719416        0.424586
LBFGS:   38 12:12:45      -75.738208        0.340221
LBFGS:   39 12:12:45      -75.756307        0.375507
LBFGS:   40 12:12:45      -75.770768        0.383150
LBFGS:   41 12:12:45      -75.790757        0.429854
LBFGS:   42 12:12:45      -75.829259        0.671726
LBFGS:   43 12:12:46      -75.886436        0.918222
LBFGS:   44 12:12:46      -75.941658        0.817391
LBFGS:   45 12:12:46      -76.015996        0.630911
LBFGS:   46 12:12:46      -76.036398        0.511105
LBFGS:   47 12:12:46      -76.073591        0.588536
LBFGS:   48 12:12:46      -76.112400        0.378645
LBFGS:   49 12:12:47      -76.154029        0.317806
LBFGS:   50 12:12:47      -76.169005        0.303300
LBFGS:   51 12:12:47      -76.180987        0.188501
LBFGS:   52 12:12:47      -76.186481        0.123423
LBFGS:   53 12:12:47      -76.190701        0.154712
LBFGS:   54 12:12:47      -76.196809        0.173572
LBFGS:   55 12:12:48      -76.204138        0.226273
LBFGS:   56 12:12:48      -76.210347        0.198539
LBFGS:   57 12:12:48      -76.214576        0.128037
LBFGS:   58 12:12:48      -76.217792        0.124197
LBFGS:   59 12:12:48      -76.221021        0.135173
LBFGS:   60 12:12:49      -76.224287        0.108269
LBFGS:   61 12:12:49      -76.226614        0.076077
LBFGS:   62 12:12:49      -76.228073        0.086203
LBFGS:   63 12:12:49      -76.229643        0.089371
LBFGS:   64 12:12:49      -76.231871        0.089941
LBFGS:   65 12:12:49      -76.234382        0.095054
LBFGS:   66 12:12:50      -76.236502        0.094725
LBFGS:   67 12:12:50      -76.238059        0.086337
LBFGS:   68 12:12:50      -76.239545        0.071265
LBFGS:   69 12:12:50      -76.241523        0.085157
LBFGS:   70 12:12:50      -76.243731        0.076777
LBFGS:   71 12:12:51      -76.245666        0.108912
LBFGS:   72 12:12:51      -76.247398        0.119457
LBFGS:   73 12:12:51      -76.249419        0.112664
LBFGS:   74 12:12:51      -76.251908        0.080666
LBFGS:   75 12:12:51      -76.254321        0.072885
LBFGS:   76 12:12:51      -76.255850        0.065000
LBFGS:   77 12:12:52      -76.256793        0.057748
LBFGS:   78 12:12:52      -76.257883        0.062596
LBFGS:   79 12:12:52      -76.259406        0.072782
LBFGS:   80 12:12:52      -76.261404        0.065866
LBFGS:   81 12:12:52      -76.263420        0.072076
LBFGS:   82 12:12:53      -76.264948        0.084848
LBFGS:   83 12:12:53      -76.266123        0.084008
LBFGS:   84 12:12:53      -76.267424        0.076212
LBFGS:   85 12:12:53      -76.269204        0.069729
LBFGS:   86 12:12:53      -76.271437        0.065384
LBFGS:   87 12:12:53      -76.273465        0.064628
LBFGS:   88 12:12:54      -76.274799        0.080079
LBFGS:   89 12:12:54      -76.275705        0.093052
LBFGS:   90 12:12:54      -76.276743        0.096199
LBFGS:   91 12:12:54      -76.278236        0.082998
LBFGS:   92 12:12:54      -76.279825        0.059709
LBFGS:   93 12:12:55      -76.280850        0.038103
