       Step     Time          Energy          fmax
LBFGS:    0 12:10:08      -52.229519        0.937313
LBFGS:    1 12:10:08      -52.269134        0.601875
LBFGS:    2 12:10:08      -52.283279        0.255572
LBFGS:    3 12:10:08      -52.287065        0.193050
LBFGS:    4 12:10:08      -52.288881        0.172776
LBFGS:    5 12:10:09      -52.292433        0.168938
LBFGS:    6 12:10:09      -52.294424        0.144262
LBFGS:    7 12:10:09      -52.295378        0.080578
LBFGS:    8 12:10:09      -52.295905        0.064849
LBFGS:    9 12:10:09      -52.296649        0.090258
LBFGS:   10 12:10:09      -52.297651        0.133360
LBFGS:   11 12:10:09      -52.298744        0.116724
LBFGS:   12 12:10:09      -52.299605        0.076789
LBFGS:   13 12:10:09      -52.300203        0.064874
LBFGS:   14 12:10:10      -52.300607        0.059812
LBFGS:   15 12:10:10      -52.300855        0.052228
LBFGS:   16 12:10:10      -52.300999        0.032133
