       Step     Time          Energy          fmax
LBFGS:    0 12:13:07      -77.090344        1.325267
LBFGS:    1 12:13:07      -77.169030        0.598055
LBFGS:    2 12:13:07      -77.252683        0.516405
LBFGS:    3 12:13:07      -77.282314        0.432068
LBFGS:    4 12:13:07      -77.306025        0.314638
LBFGS:    5 12:13:07      -77.325448        0.309926
LBFGS:    6 12:13:08      -77.339147        0.300705
LBFGS:    7 12:13:08      -77.347379        0.193839
LBFGS:    8 12:13:08      -77.354072        0.185202
LBFGS:    9 12:13:08      -77.361286        0.245027
LBFGS:   10 12:13:08      -77.369328        0.375100
LBFGS:   11 12:13:08      -77.376994        0.358343
LBFGS:   12 12:13:09      -77.383154        0.217643
LBFGS:   13 12:13:09      -77.387770        0.176588
LBFGS:   14 12:13:09      -77.391702        0.185671
LBFGS:   15 12:13:09      -77.396383        0.216704
LBFGS:   16 12:13:09      -77.402630        0.250438
LBFGS:   17 12:13:09      -77.409787        0.239134
LBFGS:   18 12:13:10      -77.416330        0.217308
LBFGS:   19 12:13:10      -77.422369        0.182669
LBFGS:   20 12:13:10      -77.430409        0.281530
LBFGS:   21 12:13:10      -77.443372        0.355926
LBFGS:   22 12:13:10      -77.461667        0.333008
LBFGS:   23 12:13:10      -77.480431        0.353452
LBFGS:   24 12:13:10      -77.493568        0.263320
LBFGS:   25 12:13:11      -77.503652        0.303172
LBFGS:   26 12:13:11      -77.515921        0.363239
LBFGS:   27 12:13:11      -77.533721        0.289600
LBFGS:   28 12:13:11      -77.552648        0.404737
LBFGS:   29 12:13:11      -77.571532        0.452424
LBFGS:   30 12:13:12      -77.596256        0.440349
LBFGS:   31 12:13:12      -77.629404        0.584732
LBFGS:   32 12:13:12      -77.651272        1.119217
LBFGS:   33 12:13:12      -77.686263        0.529787
LBFGS:   34 12:13:12      -77.714013        0.303940
LBFGS:   35 12:13:12      -77.737980        0.430677
LBFGS:   36 12:13:13      -77.752033        0.448455
LBFGS:   37 12:13:13      -77.776372        0.465898
LBFGS:   38 12:13:13      -77.795177        0.244650
LBFGS:   39 12:13:13      -77.797300        0.861648
LBFGS:   40 12:13:13      -77.813951        0.276845
LBFGS:   41 12:13:13      -77.818195        0.219050
LBFGS:   42 12:13:14      -77.833099        0.213625
LBFGS:   43 12:13:14      -77.839406        0.238351
LBFGS:   44 12:13:14      -77.857254        0.218746
LBFGS:   45 12:13:14      -77.865085        0.196284
LBFGS:   46 12:13:14      -77.873361        0.183997
LBFGS:   47 12:13:15      -77.881426        0.196246
LBFGS:   48 12:13:15      -77.891999        0.231301
LBFGS:   49 12:13:15      -77.901422        0.256489
LBFGS:   50 12:13:15      -77.910373        0.228290
LBFGS:   51 12:13:15      -77.917682        0.160980
LBFGS:   52 12:13:16      -77.924180        0.156800
LBFGS:   53 12:13:16      -77.929883        0.159399
LBFGS:   54 12:13:16      -77.934890        0.198251
LBFGS:   55 12:13:16      -77.939416        0.205061
LBFGS:   56 12:13:16      -77.944092        0.181269
LBFGS:   57 12:13:17      -77.948780        0.099076
LBFGS:   58 12:13:17      -77.951638        0.172094
LBFGS:   59 12:13:17      -77.953569        0.166433
LBFGS:   60 12:13:17      -77.956324        0.195448
LBFGS:   61 12:13:17      -77.960674        0.160650
LBFGS:   62 12:13:17      -77.963905        0.119532
LBFGS:   63 12:13:18      -77.966567        0.113416
LBFGS:   64 12:13:18      -77.968557        0.107393
LBFGS:   65 12:13:18      -77.971173        0.158128
LBFGS:   66 12:13:18      -77.973807        0.175476
LBFGS:   67 12:13:18      -77.976585        0.141407
LBFGS:   68 12:13:19      -77.978674        0.082681
LBFGS:   69 12:13:19      -77.980145        0.089853
LBFGS:   70 12:13:19      -77.981556        0.082791
LBFGS:   71 12:13:19      -77.983411        0.092589
LBFGS:   72 12:13:19      -77.985663        0.104546
LBFGS:   73 12:13:19      -77.987860        0.100186
LBFGS:   74 12:13:20      -77.989537        0.102403
LBFGS:   75 12:13:20      -77.990917        0.102182
LBFGS:   76 12:13:20      -77.992342        0.086088
LBFGS:   77 12:13:20      -77.993771        0.085725
LBFGS:   78 12:13:20      -77.994851        0.062770
LBFGS:   79 12:13:21      -77.995565        0.049993
