       Step     Time          Energy          fmax
LBFGS:    0 12:13:21      -73.796668        2.966932
LBFGS:    1 12:13:21      -74.012196        2.217138
LBFGS:    2 12:13:21      -74.157163        1.436315
LBFGS:    3 12:13:21      -74.183738        0.411335
LBFGS:    4 12:13:21      -74.200611        0.330884
LBFGS:    5 12:13:22      -74.215440        0.326520
LBFGS:    6 12:13:22      -74.221999        0.210644
LBFGS:    7 12:13:22      -74.228920        0.270319
LBFGS:    8 12:13:22      -74.236238        0.310580
LBFGS:    9 12:13:22      -74.245391        0.380627
LBFGS:   10 12:13:23      -74.253058        0.273074
LBFGS:   11 12:13:23      -74.258601        0.181989
LBFGS:   12 12:13:23      -74.262258        0.122630
LBFGS:   13 12:13:23      -74.264855        0.160296
LBFGS:   14 12:13:23      -74.266846        0.114408
LBFGS:   15 12:13:23      -74.268658        0.092137
LBFGS:   16 12:13:24      -74.270378        0.095022
LBFGS:   17 12:13:24      -74.271810        0.127099
LBFGS:   18 12:13:24      -74.272809        0.094001
LBFGS:   19 12:13:24      -74.273553        0.072520
LBFGS:   20 12:13:24      -74.274223        0.072268
LBFGS:   21 12:13:25      -74.274854        0.071239
LBFGS:   22 12:13:25      -74.275407        0.068496
LBFGS:   23 12:13:25      -74.275906        0.052561
LBFGS:   24 12:13:25      -74.276441        0.073749
LBFGS:   25 12:13:25      -74.277008        0.072662
LBFGS:   26 12:13:25      -74.277523        0.058124
LBFGS:   27 12:13:26      -74.278004        0.053185
LBFGS:   28 12:13:26      -74.278587        0.073342
LBFGS:   29 12:13:26      -74.279388        0.084625
LBFGS:   30 12:13:26      -74.280456        0.101716
LBFGS:   31 12:13:26      -74.281821        0.114785
LBFGS:   32 12:13:26      -74.283835        0.151787
LBFGS:   33 12:13:27      -74.287490        0.248406
LBFGS:   34 12:13:27      -74.291743        0.310584
LBFGS:   35 12:13:27      -74.298281        0.242160
LBFGS:   36 12:13:27      -74.309076        0.196278
LBFGS:   37 12:13:27      -74.315462        0.298629
LBFGS:   38 12:13:28      -74.323535        0.482850
LBFGS:   39 12:13:28      -74.336874        0.499272
LBFGS:   40 12:13:28      -74.359573        0.380460
LBFGS:   41 12:13:28      -74.368351        0.291868
LBFGS:   42 12:13:28      -74.375520        0.223820
LBFGS:   43 12:13:28      -74.380778        0.252875
LBFGS:   44 12:13:29      -74.387955        0.319391
LBFGS:   45 12:13:29      -74.397336        0.299750
LBFGS:   46 12:13:29      -74.405457        0.183183
LBFGS:   47 12:13:29      -74.408963        0.116316
LBFGS:   48 12:13:29      -74.411193        0.104425
LBFGS:   49 12:13:29      -74.413019        0.121250
LBFGS:   50 12:13:29      -74.415522        0.144404
LBFGS:   51 12:13:30      -74.418371        0.146892
LBFGS:   52 12:13:30      -74.420662        0.114513
LBFGS:   53 12:13:30      -74.421881        0.067542
LBFGS:   54 12:13:30      -74.422744        0.079060
LBFGS:   55 12:13:30      -74.424018        0.088482
LBFGS:   56 12:13:30      -74.425985        0.133286
LBFGS:   57 12:13:31      -74.428059        0.117479
LBFGS:   58 12:13:31      -74.429283        0.066971
LBFGS:   59 12:13:31      -74.429878        0.057295
LBFGS:   60 12:13:31      -74.430509        0.066797
LBFGS:   61 12:13:31      -74.431759        0.118910
LBFGS:   62 12:13:32      -74.434000        0.160724
LBFGS:   63 12:13:32      -74.437019        0.186975
LBFGS:   64 12:13:32      -74.439792        0.160657
LBFGS:   65 12:13:32      -74.442227        0.129568
LBFGS:   66 12:13:32      -74.444639        0.142278
LBFGS:   67 12:13:32      -74.447419        0.176012
LBFGS:   68 12:13:33      -74.450007        0.104806
LBFGS:   69 12:13:33      -74.451785        0.100376
LBFGS:   70 12:13:33      -74.452896        0.094410
LBFGS:   71 12:13:33      -74.454167        0.110054
LBFGS:   72 12:13:33      -74.456178        0.133675
LBFGS:   73 12:13:33      -74.458665        0.171883
LBFGS:   74 12:13:34      -74.460788        0.140191
LBFGS:   75 12:13:34      -74.462249        0.079907
LBFGS:   76 12:13:34      -74.463200        0.082839
LBFGS:   77 12:13:34      -74.464223        0.105558
LBFGS:   78 12:13:34      -74.465323        0.081922
LBFGS:   79 12:13:35      -74.466205        0.058795
LBFGS:   80 12:13:35      -74.466587        0.061388
LBFGS:   81 12:13:35      -74.467290        0.056305
LBFGS:   82 12:13:35      -74.468083        0.075971
LBFGS:   83 12:13:35      -74.468982        0.057785
LBFGS:   84 12:13:35      -74.469768        0.067655
LBFGS:   85 12:13:36      -74.470648        0.085728
LBFGS:   86 12:13:36      -74.471924        0.112063
LBFGS:   87 12:13:36      -74.473683        0.134080
LBFGS:   88 12:13:36      -74.475249        0.091587
LBFGS:   89 12:13:36      -74.476022        0.038901
