       Step     Time          Energy          fmax
LBFGS:    0 12:12:58      -38.984269        1.256867
LBFGS:    1 12:12:59      -39.038145        0.944994
LBFGS:    2 12:12:59      -39.128451        0.784162
LBFGS:    3 12:12:59      -39.153773        0.515691
LBFGS:    4 12:12:59      -39.172841        0.509898
LBFGS:    5 12:12:59      -39.193135        0.494985
LBFGS:    6 12:13:00      -39.214103        0.481398
LBFGS:    7 12:13:00      -39.230512        0.341547
LBFGS:    8 12:13:00      -39.240038        0.268898
LBFGS:    9 12:13:00      -39.249378        0.540668
LBFGS:   10 12:13:00      -39.264442        0.790529
LBFGS:   11 12:13:01      -39.281870        0.765165
LBFGS:   12 12:13:01      -39.296114        0.440846
LBFGS:   13 12:13:01      -39.305238        0.348031
LBFGS:   14 12:13:01      -39.312988        0.319284
LBFGS:   15 12:13:01      -39.325464        0.425053
LBFGS:   16 12:13:01      -39.350158        0.624876
LBFGS:   17 12:13:02      -39.389772        0.652045
LBFGS:   18 12:13:02      -39.434462        0.387295
LBFGS:   19 12:13:02      -39.461485        0.268480
LBFGS:   20 12:13:02      -39.479028        0.321425
LBFGS:   21 12:13:02      -39.508472        0.628960
LBFGS:   22 12:13:03      -39.537735        0.654880
LBFGS:   23 12:13:03      -39.563169        0.399540
LBFGS:   24 12:13:03      -39.577875        0.201485
LBFGS:   25 12:13:03      -39.588669        0.185311
LBFGS:   26 12:13:03      -39.600623        0.221829
LBFGS:   27 12:13:03      -39.613483        0.236064
LBFGS:   28 12:13:04      -39.628491        0.173042
LBFGS:   29 12:13:04      -39.648214        0.119414
LBFGS:   30 12:13:04      -39.670653        0.120310
LBFGS:   31 12:13:04      -39.684127        0.106516
LBFGS:   32 12:13:04      -39.688990        0.091046
LBFGS:   33 12:13:05      -39.690545        0.078796
LBFGS:   34 12:13:05      -39.692105        0.070248
LBFGS:   35 12:13:05      -39.694175        0.077085
LBFGS:   36 12:13:05      -39.696638        0.098328
LBFGS:   37 12:13:05      -39.698529        0.077498
LBFGS:   38 12:13:06      -39.699877        0.066354
LBFGS:   39 12:13:06      -39.701243        0.061567
LBFGS:   40 12:13:06      -39.703270        0.090686
LBFGS:   41 12:13:06      -39.705733        0.120299
LBFGS:   42 12:13:06      -39.707690        0.101244
LBFGS:   43 12:13:06      -39.708814        0.052661
LBFGS:   44 12:13:07      -39.709430        0.038422
