       Step     Time          Energy          fmax
LBFGS:    0 12:10:24      -76.877397        1.372252
LBFGS:    1 12:10:24      -76.976733        0.932576
LBFGS:    2 12:10:24      -77.087263        0.775799
LBFGS:    3 12:10:24      -77.111371        0.439997
LBFGS:    4 12:10:24      -77.134827        0.430874
LBFGS:    5 12:10:24      -77.161713        0.446708
LBFGS:    6 12:10:25      -77.188009        0.345356
LBFGS:    7 12:10:25      -77.206954        0.381786
LBFGS:    8 12:10:25      -77.225157        0.332486
LBFGS:    9 12:10:25      -77.248822        0.602139
LBFGS:   10 12:10:25      -77.279020        0.711729
LBFGS:   11 12:10:25      -77.310306        0.545702
LBFGS:   12 12:10:26      -77.335406        0.312345
LBFGS:   13 12:10:26      -77.353710        0.309523
LBFGS:   14 12:10:26      -77.370930        0.405370
LBFGS:   15 12:10:26      -77.394115        0.441492
LBFGS:   16 12:10:26      -77.421400        0.423740
LBFGS:   17 12:10:27      -77.447807        0.362032
LBFGS:   18 12:10:27      -77.473367        0.539027
LBFGS:   19 12:10:27      -77.502389        0.583269
LBFGS:   20 12:10:27      -77.536045        0.633728
LBFGS:   21 12:10:27      -77.575707        0.599503
LBFGS:   22 12:10:27      -77.622607        0.599733
LBFGS:   23 12:10:28      -77.662364        0.475681
LBFGS:   24 12:10:28      -77.685198        0.333683
LBFGS:   25 12:10:28      -77.699876        0.305772
LBFGS:   26 12:10:28      -77.711655        0.233542
LBFGS:   27 12:10:28      -77.723701        0.261864
LBFGS:   28 12:10:28      -77.735164        0.221175
LBFGS:   29 12:10:29      -77.745444        0.275742
LBFGS:   30 12:10:29      -77.756052        0.287066
LBFGS:   31 12:10:29      -77.769982        0.319838
LBFGS:   32 12:10:29      -77.788555        0.353892
LBFGS:   33 12:10:29      -77.808438        0.277244
LBFGS:   34 12:10:29      -77.827031        0.243903
LBFGS:   35 12:10:29      -77.841589        0.232309
LBFGS:   36 12:10:29      -77.853401        0.254393
LBFGS:   37 12:10:29      -77.866493        0.216941
LBFGS:   38 12:10:30      -77.880546        0.197630
LBFGS:   39 12:10:30      -77.893800        0.216642
LBFGS:   40 12:10:30      -77.903765        0.253252
LBFGS:   41 12:10:30      -77.907609        0.587078
LBFGS:   42 12:10:30      -77.913524        0.434053
LBFGS:   43 12:10:30      -77.919082        0.196420
LBFGS:   44 12:10:30      -77.924899        0.117355
LBFGS:   45 12:10:30      -77.929022        0.174859
LBFGS:   46 12:10:31      -77.932303        0.148765
LBFGS:   47 12:10:31      -77.934811        0.107341
LBFGS:   48 12:10:31      -77.936381        0.078263
LBFGS:   49 12:10:31      -77.937634        0.081031
LBFGS:   50 12:10:31      -77.938930        0.095798
LBFGS:   51 12:10:31      -77.940347        0.114191
LBFGS:   52 12:10:31      -77.941882        0.121398
LBFGS:   53 12:10:31      -77.943352        0.127452
LBFGS:   54 12:10:31      -77.944831        0.098202
LBFGS:   55 12:10:32      -77.946148        0.091744
LBFGS:   56 12:10:32      -77.947565        0.093204
LBFGS:   57 12:10:32      -77.949029        0.091151
LBFGS:   58 12:10:32      -77.950616        0.086913
LBFGS:   59 12:10:32      -77.951775        0.105272
LBFGS:   60 12:10:32      -77.952634        0.082474
LBFGS:   61 12:10:32      -77.953261        0.143495
LBFGS:   62 12:10:32      -77.953902        0.093828
LBFGS:   63 12:10:32      -77.954575        0.081581
LBFGS:   64 12:10:33      -77.955123        0.044760
