       Step     Time          Energy          fmax
LBFGS:    0 12:10:47      -73.151745        1.259673
LBFGS:    1 12:10:48      -73.205995        0.671722
LBFGS:    2 12:10:48      -73.231078        0.540962
LBFGS:    3 12:10:48      -73.241365        0.405481
LBFGS:    4 12:10:48      -73.253417        0.417037
LBFGS:    5 12:10:48      -73.267075        0.564664
LBFGS:    6 12:10:48      -73.278254        0.402206
LBFGS:    7 12:10:48      -73.284105        0.199118
LBFGS:    8 12:10:48      -73.288031        0.211207
LBFGS:    9 12:10:48      -73.296350        0.306906
LBFGS:   10 12:10:49      -73.309178        0.445195
LBFGS:   11 12:10:49      -73.327011        0.482956
LBFGS:   12 12:10:49      -73.346572        0.389539
LBFGS:   13 12:10:49      -73.368635        0.378571
LBFGS:   14 12:10:49      -73.394514        0.598824
LBFGS:   15 12:10:49      -73.423460        0.801214
LBFGS:   16 12:10:49      -73.456476        0.780279
LBFGS:   17 12:10:49      -73.491977        0.502598
LBFGS:   18 12:10:49      -73.525615        0.505384
LBFGS:   19 12:10:50      -73.555456        0.642221
LBFGS:   20 12:10:50      -73.579533        0.552283
LBFGS:   21 12:10:50      -73.600650        0.302254
LBFGS:   22 12:10:50      -73.619942        0.306108
LBFGS:   23 12:10:50      -73.636860        0.351437
LBFGS:   24 12:10:50      -73.651911        0.406047
LBFGS:   25 12:10:50      -73.666698        0.397448
LBFGS:   26 12:10:50      -73.681700        0.451245
LBFGS:   27 12:10:50      -73.696950        0.422719
LBFGS:   28 12:10:51      -73.709685        0.353057
LBFGS:   29 12:10:51      -73.717456        0.215223
LBFGS:   30 12:10:51      -73.722077        0.164215
LBFGS:   31 12:10:51      -73.726276        0.160056
LBFGS:   32 12:10:51      -73.729800        0.157546
LBFGS:   33 12:10:51      -73.733082        0.124143
LBFGS:   34 12:10:51      -73.735767        0.143128
LBFGS:   35 12:10:51      -73.738015        0.133266
LBFGS:   36 12:10:51      -73.740008        0.114491
LBFGS:   37 12:10:52      -73.741754        0.100471
LBFGS:   38 12:10:52      -73.743239        0.111881
LBFGS:   39 12:10:52      -73.744675        0.141440
LBFGS:   40 12:10:52      -73.746227        0.128503
LBFGS:   41 12:10:52      -73.747623        0.112671
LBFGS:   42 12:10:52      -73.748389        0.069484
LBFGS:   43 12:10:52      -73.748684        0.047938
