       Step     Time          Energy          fmax
LBFGS:    0 12:10:52      -73.340850        1.151148
LBFGS:    1 12:10:53      -73.418006        0.840987
LBFGS:    2 12:10:53      -73.494641        0.716100
LBFGS:    3 12:10:53      -73.529342        0.668763
LBFGS:    4 12:10:53      -73.604992        0.894344
LBFGS:    5 12:10:53      -73.674612        1.271591
LBFGS:    6 12:10:53      -73.747834        1.028283
LBFGS:    7 12:10:53      -73.792916        0.396538
LBFGS:    8 12:10:53      -73.811478        0.378349
LBFGS:    9 12:10:53      -73.833765        0.353550
LBFGS:   10 12:10:54      -73.842394        0.257310
LBFGS:   11 12:10:54      -73.849312        0.183621
LBFGS:   12 12:10:54      -73.856295        0.188939
LBFGS:   13 12:10:54      -73.863718        0.281676
LBFGS:   14 12:10:54      -73.868843        0.218650
LBFGS:   15 12:10:54      -73.872208        0.131920
LBFGS:   16 12:10:54      -73.875214        0.143553
LBFGS:   17 12:10:54      -73.878266        0.198066
LBFGS:   18 12:10:54      -73.880801        0.178121
LBFGS:   19 12:10:55      -73.882960        0.103056
LBFGS:   20 12:10:55      -73.885194        0.144811
LBFGS:   21 12:10:55      -73.887488        0.149553
LBFGS:   22 12:10:55      -73.889547        0.144351
LBFGS:   23 12:10:55      -73.891322        0.103304
LBFGS:   24 12:10:55      -73.893150        0.130089
LBFGS:   25 12:10:56      -73.895405        0.138991
LBFGS:   26 12:10:56      -73.898073        0.172881
LBFGS:   27 12:10:56      -73.900836        0.166197
LBFGS:   28 12:10:56      -73.903762        0.150572
LBFGS:   29 12:10:56      -73.907082        0.184492
LBFGS:   30 12:10:56      -73.910178        0.131262
LBFGS:   31 12:10:56      -73.912157        0.093945
LBFGS:   32 12:10:56      -73.913303        0.066380
LBFGS:   33 12:10:57      -73.914438        0.125076
LBFGS:   34 12:10:57      -73.916319        0.166804
LBFGS:   35 12:10:57      -73.918895        0.174877
LBFGS:   36 12:10:57      -73.921115        0.119775
LBFGS:   37 12:10:57      -73.922308        0.060961
LBFGS:   38 12:10:57      -73.923136        0.065037
LBFGS:   39 12:10:57      -73.924221        0.128909
LBFGS:   40 12:10:58      -73.925630        0.153471
LBFGS:   41 12:10:58      -73.926794        0.104330
LBFGS:   42 12:10:58      -73.927371        0.055434
LBFGS:   43 12:10:58      -73.927695        0.053925
LBFGS:   44 12:10:58      -73.928118        0.071766
LBFGS:   45 12:10:58      -73.928702        0.091973
LBFGS:   46 12:10:58      -73.929247        0.067965
LBFGS:   47 12:10:59      -73.929620        0.050481
LBFGS:   48 12:10:59      -73.929939        0.059439
LBFGS:   49 12:10:59      -73.930411        0.082999
LBFGS:   50 12:10:59      -73.931101        0.108561
LBFGS:   51 12:10:59      -73.931761        0.085445
LBFGS:   52 12:10:59      -73.932126        0.042165
