       Step     Time          Energy          fmax
LBFGS:    0 12:14:25      -71.286754        1.494992
LBFGS:    1 12:14:25      -71.365324        0.669832
LBFGS:    2 12:14:25      -71.428241        0.474830
LBFGS:    3 12:14:25      -71.458347        0.459473
LBFGS:    4 12:14:26      -71.499628        0.583244
LBFGS:    5 12:14:26      -71.535448        0.497733
LBFGS:    6 12:14:26      -71.563889        0.414905
LBFGS:    7 12:14:26      -71.581710        0.263979
LBFGS:    8 12:14:26      -71.598761        0.326364
LBFGS:    9 12:14:26      -71.621311        0.629480
LBFGS:   10 12:14:27      -71.650973        0.866421
LBFGS:   11 12:14:27      -71.683065        0.784006
LBFGS:   12 12:14:27      -71.714185        0.462800
LBFGS:   13 12:14:27      -71.746038        0.505561
LBFGS:   14 12:14:27      -71.774456        0.534512
LBFGS:   15 12:14:28      -71.792562        0.364537
LBFGS:   16 12:14:28      -71.801643        0.208855
LBFGS:   17 12:14:28      -71.808716        0.196707
LBFGS:   18 12:14:28      -71.816073        0.287244
LBFGS:   19 12:14:28      -71.823160        0.314458
LBFGS:   20 12:14:28      -71.829394        0.240005
LBFGS:   21 12:14:29      -71.836130        0.216350
LBFGS:   22 12:14:29      -71.845053        0.288759
LBFGS:   23 12:14:29      -71.856208        0.410095
LBFGS:   24 12:14:29      -71.869523        0.422601
LBFGS:   25 12:14:29      -71.885970        0.342838
LBFGS:   26 12:14:30      -71.907939        0.351184
LBFGS:   27 12:14:30      -71.934855        0.480234
LBFGS:   28 12:14:30      -71.963184        0.592913
LBFGS:   29 12:14:30      -71.998801        0.461048
LBFGS:   30 12:14:30      -72.040054        0.518254
LBFGS:   31 12:14:31      -72.063740        0.904941
LBFGS:   32 12:14:31      -72.128214        0.678999
LBFGS:   33 12:14:31      -72.182666        0.526112
LBFGS:   34 12:14:31      -72.281241        0.597070
LBFGS:   35 12:14:31      -72.312890        0.603073
LBFGS:   36 12:14:32      -72.361362        0.462298
LBFGS:   37 12:14:32      -72.385826        0.411992
LBFGS:   38 12:14:32      -72.403477        0.257990
LBFGS:   39 12:14:32      -72.414644        0.286169
LBFGS:   40 12:14:32      -72.430547        0.286673
LBFGS:   41 12:14:33      -72.448241        0.449014
LBFGS:   42 12:14:33      -72.471778        0.418309
LBFGS:   43 12:14:33      -72.492288        0.368897
LBFGS:   44 12:14:33      -72.504657        0.288941
LBFGS:   45 12:14:33      -72.511751        0.191404
LBFGS:   46 12:14:34      -72.520470        0.275964
LBFGS:   47 12:14:34      -72.532760        0.404107
LBFGS:   48 12:14:34      -72.545917        0.332063
LBFGS:   49 12:14:34      -72.553349        0.171371
LBFGS:   50 12:14:34      -72.557278        0.142767
LBFGS:   51 12:14:35      -72.561945        0.190181
LBFGS:   52 12:14:35      -72.569090        0.297488
LBFGS:   53 12:14:35      -72.577449        0.276328
LBFGS:   54 12:14:35      -72.584252        0.256167
LBFGS:   55 12:14:35      -72.588938        0.208416
LBFGS:   56 12:14:35      -72.592501        0.151347
LBFGS:   57 12:14:36      -72.596020        0.178288
LBFGS:   58 12:14:36      -72.599969        0.208742
LBFGS:   59 12:14:36      -72.604288        0.258220
LBFGS:   60 12:14:36      -72.608912        0.239004
LBFGS:   61 12:14:36      -72.613889        0.183436
LBFGS:   62 12:14:37      -72.618752        0.162098
LBFGS:   63 12:14:37      -72.622193        0.103610
LBFGS:   64 12:14:37      -72.624184        0.103103
LBFGS:   65 12:14:37      -72.625941        0.129699
LBFGS:   66 12:14:37      -72.628493        0.134957
LBFGS:   67 12:14:38      -72.632358        0.189335
LBFGS:   68 12:14:38      -72.637119        0.208449
LBFGS:   69 12:14:38      -72.641574        0.153833
LBFGS:   70 12:14:38      -72.645962        0.178552
LBFGS:   71 12:14:39      -72.650542        0.206671
LBFGS:   72 12:14:39      -72.657092        0.287203
LBFGS:   73 12:14:39      -72.665754        0.301789
LBFGS:   74 12:14:39      -72.674057        0.228873
LBFGS:   75 12:14:39      -72.681591        0.170177
LBFGS:   76 12:14:39      -72.687609        0.132347
LBFGS:   77 12:14:40      -72.691514        0.184729
LBFGS:   78 12:14:40      -72.695143        0.164481
LBFGS:   79 12:14:40      -72.699773        0.167610
LBFGS:   80 12:14:40      -72.704471        0.130023
LBFGS:   81 12:14:40      -72.708159        0.114991
LBFGS:   82 12:14:41      -72.711000        0.164389
LBFGS:   83 12:14:41      -72.714032        0.119689
LBFGS:   84 12:14:41      -72.717290        0.103431
LBFGS:   85 12:14:41      -72.720599        0.106580
LBFGS:   86 12:14:41      -72.722893        0.096250
LBFGS:   87 12:14:41      -72.724730        0.087134
LBFGS:   88 12:14:42      -72.726711        0.109298
LBFGS:   89 12:14:42      -72.728872        0.113080
LBFGS:   90 12:14:42      -72.730682        0.080199
LBFGS:   91 12:14:42      -72.731935        0.066781
LBFGS:   92 12:14:42      -72.732800        0.069110
LBFGS:   93 12:14:42      -72.733512        0.062046
LBFGS:   94 12:14:43      -72.734309        0.050263
LBFGS:   95 12:14:43      -72.735348        0.060650
LBFGS:   96 12:14:43      -72.736587        0.063590
LBFGS:   97 12:14:43      -72.737751        0.057895
LBFGS:   98 12:14:43      -72.738628        0.063719
LBFGS:   99 12:14:43      -72.739258        0.056416
LBFGS:  100 12:14:44      -72.739797        0.042154
