       Step     Time          Energy          fmax
LBFGS:    0 12:13:39      -37.802364        0.958436
LBFGS:    1 12:13:39      -37.824052        0.473969
LBFGS:    2 12:13:39      -37.835643        0.510085
LBFGS:    3 12:13:40      -37.879358        0.361774
LBFGS:    4 12:13:40      -37.885331        0.334366
LBFGS:    5 12:13:40      -37.894380        0.306257
LBFGS:    6 12:13:40      -37.901898        0.305017
LBFGS:    7 12:13:40      -37.909302        0.257201
LBFGS:    8 12:13:41      -37.913803        0.256049
LBFGS:    9 12:13:41      -37.920298        0.489380
LBFGS:   10 12:13:41      -37.932056        0.693534
LBFGS:   11 12:13:41      -37.946979        0.669525
LBFGS:   12 12:13:41      -37.956591        0.374660
LBFGS:   13 12:13:42      -37.961557        0.122864
LBFGS:   14 12:13:42      -37.966076        0.216107
LBFGS:   15 12:13:42      -37.972519        0.373167
LBFGS:   16 12:13:42      -37.983615        0.501446
LBFGS:   17 12:13:42      -37.995868        0.392060
LBFGS:   18 12:13:43      -38.006218        0.189185
LBFGS:   19 12:13:43      -38.015210        0.305963
LBFGS:   20 12:13:43      -38.027451        0.648195
LBFGS:   21 12:13:43      -38.052793        1.005064
LBFGS:   22 12:13:43      -38.081706        0.995418
LBFGS:   23 12:13:44      -38.105800        0.640980
LBFGS:   24 12:13:44      -38.119064        0.152526
LBFGS:   25 12:13:44      -38.122731        0.153274
LBFGS:   26 12:13:44      -38.126549        0.191700
LBFGS:   27 12:13:44      -38.131061        0.250911
LBFGS:   28 12:13:44      -38.137448        0.216984
LBFGS:   29 12:13:45      -38.142433        0.099258
LBFGS:   30 12:13:45      -38.144930        0.101563
LBFGS:   31 12:13:45      -38.146880        0.109260
LBFGS:   32 12:13:45      -38.149915        0.161338
LBFGS:   33 12:13:45      -38.154327        0.159537
LBFGS:   34 12:13:46      -38.161286        0.173334
LBFGS:   35 12:13:46      -38.155498        0.109068
LBFGS:   36 12:13:46      -38.155366        0.061514
LBFGS:   37 12:13:46      -38.155513        0.084894
LBFGS:   38 12:13:46      -38.156020        0.117930
LBFGS:   39 12:13:46      -38.155967        0.089657
LBFGS:   40 12:13:47      -38.155717        0.093929
LBFGS:   41 12:13:47      -38.155990        0.089365
LBFGS:   42 12:13:47      -38.156010        0.088843
LBFGS:   43 12:13:47      -38.156761        0.069064
LBFGS:   44 12:13:47      -38.157652        0.048456
