       Step     Time          Energy          fmax
LBFGS:    0 12:10:10      -38.880150        1.540544
LBFGS:    1 12:10:10      -38.963533        1.120062
LBFGS:    2 12:10:11      -39.100492        0.524857
LBFGS:    3 12:10:11      -39.119850        0.571844
LBFGS:    4 12:10:11      -39.148234        0.655796
LBFGS:    5 12:10:11      -39.195715        0.660298
LBFGS:    6 12:10:11      -39.262822        0.497921
LBFGS:    7 12:10:11      -39.304567        0.541482
LBFGS:    8 12:10:11      -39.318698        0.543109
LBFGS:    9 12:10:11      -39.339487        0.486674
LBFGS:   10 12:10:11      -39.366919        0.611759
LBFGS:   11 12:10:12      -39.396082        0.576450
LBFGS:   12 12:10:12      -39.419599        0.378533
LBFGS:   13 12:10:12      -39.438618        0.267913
LBFGS:   14 12:10:12      -39.460174        0.253716
LBFGS:   15 12:10:12      -39.486251        0.362359
LBFGS:   16 12:10:12      -39.513054        0.415188
LBFGS:   17 12:10:12      -39.534760        0.267041
LBFGS:   18 12:10:12      -39.549745        0.271172
LBFGS:   19 12:10:12      -39.567389        0.259111
LBFGS:   20 12:10:13      -39.588239        0.271010
LBFGS:   21 12:10:13      -39.601128        0.233520
LBFGS:   22 12:10:13      -39.607410        0.141556
LBFGS:   23 12:10:13      -39.612581        0.082816
LBFGS:   24 12:10:13      -39.620878        0.108984
LBFGS:   25 12:10:13      -39.631115        0.146670
LBFGS:   26 12:10:13      -39.639436        0.173451
LBFGS:   27 12:10:13      -39.643548        0.172715
LBFGS:   28 12:10:13      -39.647146        0.135059
LBFGS:   29 12:10:14      -39.650630        0.079647
LBFGS:   30 12:10:14      -39.653247        0.063427
LBFGS:   31 12:10:14      -39.654978        0.047214
