       Step     Time          Energy          fmax
LBFGS:    0 12:11:35      -78.243453        1.416167
LBFGS:    1 12:11:35      -78.337212        0.647138
LBFGS:    2 12:11:35      -78.442264        0.632266
LBFGS:    3 12:11:36      -78.522012        0.773250
LBFGS:    4 12:11:36      -78.603846        0.733353
LBFGS:    5 12:11:36      -78.695245        0.581319
LBFGS:    6 12:11:36      -78.770736        0.661302
LBFGS:    7 12:11:36      -78.821785        0.743005
LBFGS:    8 12:11:36      -78.872198        0.479345
LBFGS:    9 12:11:37      -78.924961        0.516890
LBFGS:   10 12:11:37      -78.982961        0.631628
LBFGS:   11 12:11:37      -79.038643        0.914183
LBFGS:   12 12:11:37      -79.085564        0.843905
LBFGS:   13 12:11:37      -79.122455        0.480883
LBFGS:   14 12:11:38      -79.147447        0.316917
LBFGS:   15 12:11:38      -79.162246        0.284357
LBFGS:   16 12:11:38      -79.173454        0.285022
LBFGS:   17 12:11:38      -79.183132        0.267525
LBFGS:   18 12:11:38      -79.190418        0.176645
LBFGS:   19 12:11:38      -79.194411        0.106636
LBFGS:   20 12:11:39      -79.197002        0.124956
LBFGS:   21 12:11:39      -79.200331        0.169409
LBFGS:   22 12:11:39      -79.204782        0.205589
LBFGS:   23 12:11:39      -79.209274        0.187897
LBFGS:   24 12:11:39      -79.212427        0.130485
LBFGS:   25 12:11:40      -79.214702        0.143711
LBFGS:   26 12:11:40      -79.217303        0.177296
LBFGS:   27 12:11:40      -79.220759        0.163778
LBFGS:   28 12:11:40      -79.224522        0.160824
LBFGS:   29 12:11:40      -79.228021        0.158246
LBFGS:   30 12:11:40      -79.231779        0.183422
LBFGS:   31 12:11:41      -79.236859        0.223285
LBFGS:   32 12:11:41      -79.243337        0.297975
LBFGS:   33 12:11:41      -79.249712        0.266230
LBFGS:   34 12:11:41      -79.254766        0.138474
LBFGS:   35 12:11:41      -79.259075        0.202616
LBFGS:   36 12:11:42      -79.263384        0.216230
LBFGS:   37 12:11:42      -79.267656        0.225202
LBFGS:   38 12:11:42      -79.271496        0.267484
LBFGS:   39 12:11:42      -79.274948        0.156101
