       Step     Time          Energy          fmax
LBFGS:    0 12:11:56      -78.239341        1.369794
LBFGS:    1 12:11:56      -78.342254        0.875166
LBFGS:    2 12:11:56      -78.484048        0.583620
LBFGS:    3 12:11:56      -78.535089        0.587720
LBFGS:    4 12:11:56      -78.597940        0.414833
LBFGS:    5 12:11:56      -78.666148        0.585975
LBFGS:    6 12:11:57      -78.731933        0.622988
LBFGS:    7 12:11:57      -78.783255        0.557294
LBFGS:    8 12:11:57      -78.833401        0.412311
LBFGS:    9 12:11:57      -78.884522        0.574712
LBFGS:   10 12:11:57      -78.944244        0.844704
LBFGS:   11 12:11:57      -79.003359        0.770143
LBFGS:   12 12:11:58      -79.046493        0.442633
LBFGS:   13 12:11:58      -79.074345        0.342159
LBFGS:   14 12:11:58      -79.096359        0.347252
LBFGS:   15 12:11:58      -79.115628        0.385192
LBFGS:   16 12:11:58      -79.131356        0.328171
LBFGS:   17 12:11:58      -79.141742        0.249182
LBFGS:   18 12:11:58      -79.147044        0.193678
LBFGS:   19 12:11:59      -79.150819        0.204453
LBFGS:   20 12:11:59      -79.155766        0.230076
LBFGS:   21 12:11:59      -79.162353        0.212089
LBFGS:   22 12:11:59      -79.169497        0.244012
LBFGS:   23 12:11:59      -79.175830        0.206888
LBFGS:   24 12:11:59      -79.182516        0.261759
LBFGS:   25 12:12:00      -79.193009        0.391746
LBFGS:   26 12:12:00      -79.210734        0.543462
LBFGS:   27 12:12:00      -79.232046        0.619173
LBFGS:   28 12:12:00      -79.255036        0.432192
LBFGS:   29 12:12:00      -79.270544        0.566203
LBFGS:   30 12:12:00      -79.281420        0.536461
LBFGS:   31 12:12:01      -79.294971        0.296385
LBFGS:   32 12:12:01      -79.312978        0.504410
LBFGS:   33 12:12:01      -79.319770        0.287809
LBFGS:   34 12:12:01      -79.326015        0.181215
LBFGS:   35 12:12:01      -79.332220        0.189433
LBFGS:   36 12:12:01      -79.342339        0.181040
LBFGS:   37 12:12:02      -79.354388        0.322267
LBFGS:   38 12:12:02      -79.361066        0.249554
LBFGS:   39 12:12:02      -79.366364        0.368550
LBFGS:   40 12:12:02      -79.370771        0.196472
LBFGS:   41 12:12:02      -79.375876        0.212499
LBFGS:   42 12:12:03      -79.379184        0.317662
LBFGS:   43 12:12:03      -79.385524        0.387234
LBFGS:   44 12:12:03      -79.391869        0.339045
LBFGS:   45 12:12:03      -79.398481        0.226950
LBFGS:   46 12:12:03      -79.403393        0.157431
LBFGS:   47 12:12:03      -79.407268        0.154099
LBFGS:   48 12:12:04      -79.411487        0.162755
LBFGS:   49 12:12:04      -79.416416        0.173020
LBFGS:   50 12:12:04      -79.420638        0.185389
LBFGS:   51 12:12:04      -79.422241        0.352305
LBFGS:   52 12:12:04      -79.425600        0.136559
LBFGS:   53 12:12:05      -79.427704        0.130412
LBFGS:   54 12:12:05      -79.430410        0.181745
LBFGS:   55 12:12:05      -79.433474        0.166647
LBFGS:   56 12:12:05      -79.437267        0.133765
LBFGS:   57 12:12:05      -79.441101        0.177616
LBFGS:   58 12:12:06      -79.444842        0.187556
LBFGS:   59 12:12:06      -79.448527        0.140406
LBFGS:   60 12:12:06      -79.452007        0.106661
LBFGS:   61 12:12:06      -79.455181        0.125171
LBFGS:   62 12:12:06      -79.458377        0.174700
LBFGS:   63 12:12:06      -79.461449        0.151664
LBFGS:   64 12:12:07      -79.463869        0.145357
LBFGS:   65 12:12:07      -79.465503        0.101698
LBFGS:   66 12:12:07      -79.466706        0.094306
LBFGS:   67 12:12:07      -79.467732        0.102630
LBFGS:   68 12:12:07      -79.468700        0.076357
LBFGS:   69 12:12:07      -79.469569        0.065761
LBFGS:   70 12:12:08      -79.470346        0.075576
LBFGS:   71 12:12:08      -79.471263        0.098491
LBFGS:   72 12:12:08      -79.472591        0.117328
LBFGS:   73 12:12:08      -79.474186        0.121921
LBFGS:   74 12:12:08      -79.475568        0.076778
LBFGS:   75 12:12:09      -79.476630        0.079026
LBFGS:   76 12:12:09      -79.477582        0.064355
LBFGS:   77 12:12:09      -79.478564        0.090312
LBFGS:   78 12:12:09      -79.479611        0.086239
LBFGS:   79 12:12:09      -79.480558        0.062517
LBFGS:   80 12:12:10      -79.481324        0.062072
LBFGS:   81 12:12:10      -79.482090        0.075114
LBFGS:   82 12:12:10      -79.483204        0.098039
LBFGS:   83 12:12:10      -79.484598        0.098847
LBFGS:   84 12:12:10      -79.485757        0.078695
LBFGS:   85 12:12:11      -79.486436        0.061737
LBFGS:   86 12:12:11      -79.486924        0.053839
LBFGS:   87 12:12:11      -79.487560        0.069393
LBFGS:   88 12:12:11      -79.488503        0.103075
LBFGS:   89 12:12:11      -79.489542        0.093867
LBFGS:   90 12:12:12      -79.490332        0.060895
LBFGS:   91 12:12:12      -79.490870        0.057231
LBFGS:   92 12:12:12      -79.491460        0.059358
LBFGS:   93 12:12:12      -79.492407        0.100460
LBFGS:   94 12:12:12      -79.493789        0.119098
LBFGS:   95 12:12:13      -79.495168        0.098401
LBFGS:   96 12:12:13      -79.496007        0.056181
LBFGS:   97 12:12:13      -79.496450        0.043000
