       Step     Time          Energy          fmax
LBFGS:    0 12:11:14      -40.150283        1.253198
LBFGS:    1 12:11:15      -40.226819        0.938336
LBFGS:    2 12:11:15      -40.389404        0.463330
LBFGS:    3 12:11:15      -40.421711        0.596951
LBFGS:    4 12:11:15      -40.496431        0.687035
LBFGS:    5 12:11:15      -40.582385        0.834590
LBFGS:    6 12:11:15      -40.672785        0.756404
LBFGS:    7 12:11:15      -40.733944        0.528781
LBFGS:    8 12:11:15      -40.775175        0.498824
LBFGS:    9 12:11:15      -40.815768        0.858202
LBFGS:   10 12:11:16      -40.892993        1.047648
LBFGS:   11 12:11:16      -40.972711        0.784267
LBFGS:   12 12:11:16      -41.011073        0.345268
LBFGS:   13 12:11:16      -41.023041        0.260630
LBFGS:   14 12:11:16      -41.034108        0.223413
LBFGS:   15 12:11:16      -41.043920        0.246377
LBFGS:   16 12:11:16      -41.053867        0.206020
LBFGS:   17 12:11:16      -41.062672        0.142899
LBFGS:   18 12:11:16      -41.067030        0.108243
LBFGS:   19 12:11:17      -41.068729        0.146305
LBFGS:   20 12:11:17      -41.070983        0.155533
LBFGS:   21 12:11:17      -41.075161        0.141391
LBFGS:   22 12:11:17      -41.082803        0.101964
LBFGS:   23 12:11:17      -41.093803        0.134593
LBFGS:   24 12:11:17      -41.104514        0.139077
LBFGS:   25 12:11:17      -41.111112        0.130038
LBFGS:   26 12:11:17      -41.114567        0.117523
LBFGS:   27 12:11:17      -41.118017        0.101726
LBFGS:   28 12:11:18      -41.124638        0.100705
LBFGS:   29 12:11:18      -41.134013        0.107094
LBFGS:   30 12:11:18      -41.141578        0.101097
LBFGS:   31 12:11:18      -41.144951        0.121453
LBFGS:   32 12:11:18      -41.147269        0.109175
LBFGS:   33 12:11:18      -41.149543        0.087547
LBFGS:   34 12:11:18      -41.153113        0.091908
LBFGS:   35 12:11:18      -41.158548        0.077987
LBFGS:   36 12:11:18      -41.163924        0.065983
LBFGS:   37 12:11:19      -41.167252        0.062605
LBFGS:   38 12:11:19      -41.168655        0.053136
LBFGS:   39 12:11:19      -41.169505        0.057299
LBFGS:   40 12:11:19      -41.170784        0.058464
LBFGS:   41 12:11:19      -41.173234        0.080032
LBFGS:   42 12:11:19      -41.177278        0.113096
LBFGS:   43 12:11:19      -41.181579        0.096271
LBFGS:   44 12:11:19      -41.184019        0.054923
LBFGS:   45 12:11:20      -41.185309        0.045946
