       Step     Time          Energy          fmax
LBFGS:    0 12:12:55      -25.177564        1.266486
LBFGS:    1 12:12:55      -25.214524        1.132776
LBFGS:    2 12:12:55      -25.352198        0.523977
LBFGS:    3 12:12:55      -25.371271        0.370618
LBFGS:    4 12:12:56      -25.382678        0.317868
LBFGS:    5 12:12:56      -25.400666        0.361016
LBFGS:    6 12:12:56      -25.431022        0.330810
LBFGS:    7 12:12:56      -25.453169        0.207747
LBFGS:    8 12:12:56      -25.460336        0.141906
LBFGS:    9 12:12:56      -25.465501        0.133746
LBFGS:   10 12:12:57      -25.472471        0.169000
LBFGS:   11 12:12:57      -25.477477        0.184305
LBFGS:   12 12:12:57      -25.485777        0.174300
LBFGS:   13 12:12:57      -25.497547        0.137159
LBFGS:   14 12:12:57      -25.512444        0.090251
LBFGS:   15 12:12:58      -25.522776        0.097987
LBFGS:   16 12:12:58      -25.532189        0.085371
LBFGS:   17 12:12:58      -25.534933        0.075039
LBFGS:   18 12:12:58      -25.536227        0.065801
LBFGS:   19 12:12:58      -25.539635        0.048930
