       Step     Time          Energy          fmax
LBFGS:    0 14:11:35      -70.778556        5.330320
LBFGS:    1 14:11:35      -72.211924        3.213449
LBFGS:    2 14:11:35      -73.959585        1.582960
LBFGS:    3 14:11:35      -74.713498        1.253278
LBFGS:    4 14:11:35      -75.030822        1.077500
LBFGS:    5 14:11:35      -75.232016        1.143253
LBFGS:    6 14:11:35      -75.500915        1.002719
LBFGS:    7 14:11:36      -75.772463        0.945417
LBFGS:    8 14:11:36      -75.984327        0.935284
LBFGS:    9 14:11:36      -76.153283        1.034362
LBFGS:   10 14:11:36      -76.295199        0.850935
LBFGS:   11 14:11:36      -76.444203        0.798070
LBFGS:   12 14:11:36      -76.611363        0.721011
LBFGS:   13 14:11:36      -76.772753        0.799507
LBFGS:   14 14:11:36      -76.904666        0.805283
LBFGS:   15 14:11:37      -77.017212        0.612028
LBFGS:   16 14:11:37      -77.102594        1.275438
LBFGS:   17 14:11:37      -77.198022        0.671891
LBFGS:   18 14:11:37      -77.290967        0.589494
LBFGS:   19 14:11:37      -77.414263        0.605348
LBFGS:   20 14:11:37      -77.481328        0.446958
LBFGS:   21 14:11:37      -77.540530        0.884223
LBFGS:   22 14:11:37      -77.574930        0.898583
LBFGS:   23 14:11:37      -77.624850        0.411727
LBFGS:   24 14:11:38      -77.685579        0.701069
LBFGS:   25 14:11:38      -77.728893        0.799535
LBFGS:   26 14:11:38      -77.762215        0.611035
LBFGS:   27 14:11:38      -77.788533        0.322272
LBFGS:   28 14:11:38      -77.806983        0.266451
LBFGS:   29 14:11:38      -77.819047        0.239035
LBFGS:   30 14:11:38      -77.826521        0.295185
LBFGS:   31 14:11:39      -77.834609        0.247161
LBFGS:   32 14:11:39      -77.843361        0.152460
LBFGS:   33 14:11:39      -77.854275        0.154204
LBFGS:   34 14:11:39      -77.858045        0.172456
LBFGS:   35 14:11:39      -77.863361        0.165208
LBFGS:   36 14:11:39      -77.868572        0.183135
LBFGS:   37 14:11:39      -77.875724        0.192455
LBFGS:   38 14:11:40      -77.882755        0.219674
LBFGS:   39 14:11:40      -77.888104        0.165649
LBFGS:   40 14:11:40      -77.891582        0.144108
LBFGS:   41 14:11:40      -77.894777        0.167729
LBFGS:   42 14:11:40      -77.898574        0.231754
LBFGS:   43 14:11:40      -77.902601        0.244319
LBFGS:   44 14:11:40      -77.906833        0.241216
LBFGS:   45 14:11:41      -77.910988        0.136853
LBFGS:   46 14:11:41      -77.914990        0.125493
LBFGS:   47 14:11:41      -77.917276        0.137939
LBFGS:   48 14:11:41      -77.920985        0.147351
LBFGS:   49 14:11:41      -77.923905        0.118419
LBFGS:   50 14:11:41      -77.927078        0.160801
LBFGS:   51 14:11:42      -77.929592        0.149515
LBFGS:   52 14:11:42      -77.931423        0.219619
LBFGS:   53 14:11:42      -77.933289        0.134037
LBFGS:   54 14:11:42      -77.934851        0.125900
LBFGS:   55 14:11:42      -77.936672        0.119374
LBFGS:   56 14:11:42      -77.937982        0.094582
LBFGS:   57 14:11:42      -77.940278        0.096411
LBFGS:   58 14:11:43      -77.942468        0.111216
LBFGS:   59 14:11:43      -77.943659        0.107668
LBFGS:   60 14:11:43      -77.944775        0.081734
LBFGS:   61 14:11:43      -77.945837        0.065679
LBFGS:   62 14:11:43      -77.946940        0.080071
LBFGS:   63 14:11:43      -77.947940        0.068828
LBFGS:   64 14:11:43      -77.948768        0.070314
LBFGS:   65 14:11:44      -77.949651        0.058712
LBFGS:   66 14:11:44      -77.950570        0.064905
LBFGS:   67 14:11:44      -77.951698        0.096157
LBFGS:   68 14:11:44      -77.952556        0.092497
LBFGS:   69 14:11:44      -77.953254        0.064718
LBFGS:   70 14:11:44      -77.953985        0.056234
LBFGS:   71 14:11:44      -77.954872        0.056158
LBFGS:   72 14:11:45      -77.955680        0.071577
LBFGS:   73 14:11:45      -77.956305        0.067581
LBFGS:   74 14:11:45      -77.956878        0.059710
LBFGS:   75 14:11:45      -77.957554        0.057652
LBFGS:   76 14:11:45      -77.958207        0.053260
LBFGS:   77 14:11:46      -77.958585        0.142502
LBFGS:   78 14:11:46      -77.958997        0.047411
