       Step     Time          Energy          fmax
LBFGS:    0 19:17:36      -76.877397        1.372252
LBFGS:    1 19:17:37      -76.976733        0.932576
LBFGS:    2 19:17:37      -77.087262        0.775799
LBFGS:    3 19:17:37      -77.111369        0.439996
LBFGS:    4 19:17:37      -77.134827        0.430875
LBFGS:    5 19:17:37      -77.161710        0.446716
LBFGS:    6 19:17:37      -77.188010        0.345360
LBFGS:    7 19:17:37      -77.206957        0.381792
LBFGS:    8 19:17:38      -77.225158        0.332483
LBFGS:    9 19:17:38      -77.248822        0.602136
LBFGS:   10 19:17:38      -77.279019        0.711940
LBFGS:   11 19:17:38      -77.310312        0.545666
LBFGS:   12 19:17:38      -77.335410        0.312354
LBFGS:   13 19:17:38      -77.353712        0.309547
LBFGS:   14 19:17:39      -77.370930        0.405392
LBFGS:   15 19:17:39      -77.394117        0.441478
LBFGS:   16 19:17:39      -77.421404        0.423764
LBFGS:   17 19:17:39      -77.447806        0.362018
LBFGS:   18 19:17:39      -77.473367        0.539038
LBFGS:   19 19:17:39      -77.502395        0.583147
LBFGS:   20 19:17:40      -77.536045        0.633734
LBFGS:   21 19:17:40      -77.575706        0.599545
LBFGS:   22 19:17:40      -77.622603        0.599796
LBFGS:   23 19:17:40      -77.662368        0.475658
LBFGS:   24 19:17:40      -77.685197        0.333656
LBFGS:   25 19:17:40      -77.699878        0.305812
LBFGS:   26 19:17:41      -77.711656        0.233548
LBFGS:   27 19:17:41      -77.723702        0.261858
LBFGS:   28 19:17:41      -77.735165        0.221255
LBFGS:   29 19:17:41      -77.745442        0.275738
LBFGS:   30 19:17:41      -77.756055        0.287055
LBFGS:   31 19:17:41      -77.769979        0.319786
LBFGS:   32 19:17:41      -77.788558        0.353794
LBFGS:   33 19:17:42      -77.808439        0.277175
LBFGS:   34 19:17:42      -77.827032        0.243901
LBFGS:   35 19:17:42      -77.841588        0.232279
LBFGS:   36 19:17:42      -77.853404        0.254491
LBFGS:   37 19:17:42      -77.866493        0.216932
LBFGS:   38 19:17:42      -77.880552        0.197634
LBFGS:   39 19:17:43      -77.893802        0.216645
LBFGS:   40 19:17:43      -77.903771        0.253289
LBFGS:   41 19:17:43      -77.907642        0.584537
LBFGS:   42 19:17:43      -77.913488        0.437445
LBFGS:   43 19:17:43      -77.919086        0.195998
LBFGS:   44 19:17:43      -77.924865        0.117086
LBFGS:   45 19:17:44      -77.929013        0.175575
LBFGS:   46 19:17:44      -77.932284        0.149365
LBFGS:   47 19:17:44      -77.934806        0.107653
LBFGS:   48 19:17:44      -77.936372        0.078253
LBFGS:   49 19:17:44      -77.937630        0.080988
LBFGS:   50 19:17:44      -77.938928        0.095937
LBFGS:   51 19:17:44      -77.940343        0.114005
LBFGS:   52 19:17:45      -77.941868        0.121480
LBFGS:   53 19:17:45      -77.943343        0.127043
LBFGS:   54 19:17:45      -77.944828        0.098198
LBFGS:   55 19:17:45      -77.946141        0.091556
LBFGS:   56 19:17:45      -77.947557        0.093314
LBFGS:   57 19:17:45      -77.949023        0.091141
LBFGS:   58 19:17:46      -77.950606        0.086824
LBFGS:   59 19:17:46      -77.951771        0.105363
LBFGS:   60 19:17:46      -77.952631        0.082341
LBFGS:   61 19:17:46      -77.953258        0.142973
LBFGS:   62 19:17:46      -77.953899        0.094651
LBFGS:   63 19:17:46      -77.954571        0.081946
LBFGS:   64 19:17:46      -77.955118        0.045123
