       Step     Time          Energy          fmax
LBFGS:    0 19:17:55      -76.753242        1.411390
LBFGS:    1 19:17:55      -76.834719        0.869992
LBFGS:    2 19:17:55      -76.930986        0.739670
LBFGS:    3 19:17:55      -76.980345        0.650068
LBFGS:    4 19:17:55      -77.021116        0.454308
LBFGS:    5 19:17:56      -77.063783        0.473347
LBFGS:    6 19:17:56      -77.101971        0.561008
LBFGS:    7 19:17:56      -77.130919        0.400967
LBFGS:    8 19:17:56      -77.156131        0.420764
LBFGS:    9 19:17:56      -77.180418        0.417122
LBFGS:   10 19:17:56      -77.203094        0.626931
LBFGS:   11 19:17:57      -77.224636        0.633356
LBFGS:   12 19:17:57      -77.245083        0.426666
LBFGS:   13 19:17:57      -77.264032        0.292548
LBFGS:   14 19:17:57      -77.282566        0.325426
LBFGS:   15 19:17:57      -77.304955        0.513580
LBFGS:   16 19:17:57      -77.336603        0.586489
LBFGS:   17 19:17:58      -77.379131        0.571243
LBFGS:   18 19:17:58      -77.421494        0.542124
LBFGS:   19 19:17:58      -77.455235        0.421252
LBFGS:   20 19:17:58      -77.488234        0.464976
LBFGS:   21 19:17:58      -77.531049        0.625774
LBFGS:   22 19:17:58      -77.584674        0.596799
LBFGS:   23 19:17:59      -77.641324        0.621663
LBFGS:   24 19:17:59      -77.689365        0.531256
LBFGS:   25 19:17:59      -77.731406        0.515632
LBFGS:   26 19:17:59      -77.766377        0.711092
LBFGS:   27 19:17:59      -77.788598        0.763118
LBFGS:   28 19:17:59      -77.818065        0.337637
LBFGS:   29 19:18:00      -77.845591        0.330590
LBFGS:   30 19:18:00      -77.857837        0.340967
LBFGS:   31 19:18:00      -77.874778        0.349390
LBFGS:   32 19:18:00      -77.886466        0.588697
LBFGS:   33 19:18:00      -77.896554        0.228350
LBFGS:   34 19:18:00      -77.902907        0.170880
LBFGS:   35 19:18:01      -77.908273        0.151743
LBFGS:   36 19:18:01      -77.911301        0.132488
LBFGS:   37 19:18:01      -77.915527        0.109904
LBFGS:   38 19:18:01      -77.918879        0.133129
LBFGS:   39 19:18:01      -77.921715        0.131962
LBFGS:   40 19:18:01      -77.923730        0.103030
LBFGS:   41 19:18:02      -77.925493        0.099752
LBFGS:   42 19:18:02      -77.927171        0.085326
LBFGS:   43 19:18:02      -77.928930        0.124580
LBFGS:   44 19:18:02      -77.930546        0.125361
LBFGS:   45 19:18:02      -77.931970        0.086598
LBFGS:   46 19:18:02      -77.933317        0.080453
LBFGS:   47 19:18:03      -77.934587        0.090765
LBFGS:   48 19:18:03      -77.935656        0.076129
LBFGS:   49 19:18:03      -77.936596        0.068631
LBFGS:   50 19:18:03      -77.937549        0.073293
LBFGS:   51 19:18:03      -77.938574        0.085229
LBFGS:   52 19:18:03      -77.939571        0.077621
LBFGS:   53 19:18:04      -77.940472        0.073033
LBFGS:   54 19:18:04      -77.941348        0.080198
LBFGS:   55 19:18:04      -77.942337        0.090306
LBFGS:   56 19:18:04      -77.943387        0.087713
LBFGS:   57 19:18:04      -77.944431        0.079788
LBFGS:   58 19:18:04      -77.945594        0.070948
LBFGS:   59 19:18:05      -77.946961        0.061224
LBFGS:   60 19:18:05      -77.948343        0.080284
LBFGS:   61 19:18:05      -77.949429        0.093966
LBFGS:   62 19:18:05      -77.950252        0.079173
LBFGS:   63 19:18:05      -77.951060        0.047319
