       Step     Time          Energy          fmax
LBFGS:    0 19:17:34      -52.229519        0.937313
LBFGS:    1 19:17:34      -52.269134        0.601875
LBFGS:    2 19:17:34      -52.283279        0.255572
LBFGS:    3 19:17:34      -52.287064        0.193050
LBFGS:    4 19:17:34      -52.288880        0.172776
LBFGS:    5 19:17:35      -52.292433        0.168934
LBFGS:    6 19:17:35      -52.294424        0.144264
LBFGS:    7 19:17:35      -52.295378        0.080591
LBFGS:    8 19:17:35      -52.295905        0.064854
LBFGS:    9 19:17:35      -52.296650        0.090246
LBFGS:   10 19:17:35      -52.297651        0.133427
LBFGS:   11 19:17:35      -52.298744        0.116721
LBFGS:   12 19:17:36      -52.299605        0.076833
LBFGS:   13 19:17:36      -52.300203        0.064917
LBFGS:   14 19:17:36      -52.300607        0.059746
LBFGS:   15 19:17:36      -52.300856        0.052241
LBFGS:   16 19:17:36      -52.300999        0.032176
